osmid,x,y,ref,highway
42460428,-73.9157762,40.6196416,,traffic_signals
42460434,-73.915332,40.6192285,,
42460438,-73.91525,40.618956,,
42460441,-73.914214,40.618023,,traffic_signals
42460444,-73.912397,40.61639,,traffic_signals
42460447,-73.9106003,40.6147833,,
42460498,-73.90856,40.611779,,
42460545,-73.909964,40.608783,,
42460558,-73.912088,40.607218,,
42460562,-73.914641,40.605572,,
42467685,-73.920819,40.613756,,
42467687,-73.9190067,40.6121215,,traffic_signals
42467770,-73.920527,40.613943,,
42471014,-73.912525,40.619831,,
42471016,-73.912071,40.619409,,
42473129,-73.923231,40.612194,,traffic_signals
42473130,-73.923112,40.611394,,
42473131,-73.9229475,40.6103941,,
42473375,-73.917887,40.615647,,traffic_signals
42473377,-73.916095,40.613998,,traffic_signals
42476177,-73.920107,40.614212,,
42476179,-73.918289,40.61258,,
42479140,-73.918934,40.614968,,
42479998,-73.9138302,40.6096232,,
42480022,-73.912266,40.608979,,
42480162,-73.916486,40.616553,,
42480164,-73.91467,40.61492,,
42483800,-73.917172,40.618712,,
42483804,-73.916228,40.61891,,
42489407,-73.905292,40.605331,,
42489409,-73.904879,40.605434,,
42489414,-73.903984,40.605654,,
42489418,-73.90309,40.605875,,
42489425,-73.902439,40.607953,,
42489435,-73.9165232,40.6072884,,
42489436,-73.915859,40.606662,,
42489440,-73.91525,40.60611,,
42489442,-73.914039,40.605024,,
42489446,-73.913409,40.60446,,stop
42489450,-73.912356,40.604178,,
42489453,-73.9111651,40.6039918,,
42489458,-73.909326,40.604337,,
42489461,-73.9090542,40.6043982,,
42489996,-73.9129133,40.6116674,,
42489997,-73.910524,40.611005,,
42490569,-73.9144626,40.6102298,,
42491934,-73.9242514,40.611534,,traffic_signals
42491937,-73.9223365,40.6098513,,traffic_signals
42491940,-73.9206079,40.6082607,,traffic_signals
42492779,-73.921541,40.613286,,
42492780,-73.92144,40.613351,,traffic_signals
42494003,-73.917265,40.619548,,traffic_signals
42494011,-73.91714,40.61839,,
42494014,-73.917008,40.617202,,
42494022,-73.916903,40.616274,,
42495464,-73.910433,40.611739,,
42495466,-73.909495,40.611761,,
42495470,-73.907625,40.611796,,
42495473,-73.906648,40.611801,,
42495582,-73.903954,40.608879,,
42497045,-73.905762,40.607537,,
42497089,-73.908453,40.607897,,
42497091,-73.909225,40.608345,,
42497094,-73.910704,40.609221,,
42497097,-73.911448,40.609656,,
42497100,-73.9135146,40.610278,,
42498348,-73.9136831,40.6197635,,
42498350,-73.912787,40.618946,,traffic_signals
42498358,-73.910956,40.617324,,traffic_signals
42498363,-73.9091439,40.6157271,,traffic_signals
42498421,-73.906746,40.612519,,
42498427,-73.906677,40.611105,,
42498431,-73.906829,40.610413,,
42498437,-73.907475,40.60909,,
42498441,-73.907929,40.60848,,
42498448,-73.9090403,40.6073614,,
42498459,-73.910853,40.606108,,
42498479,-73.9133225,40.6197845,,
42498958,-73.9057223,40.6093555,,
42498966,-73.904838,40.609117,,
42498975,-73.903069,40.608641,,
42500376,-73.918629,40.615169,,traffic_signals
42500380,-73.916807,40.613538,,
42501034,-73.916096,40.619623,,
42501036,-73.9148479,40.6196957,,
42505272,-73.903529,40.606895,,
42505276,-73.904323,40.606467,,
42505284,-73.905186,40.606181,,
42505299,-73.909626,40.604988,,
42512271,-73.922968,40.612363,,
42512406,-73.9132007,40.610956,,
42512409,-73.910898,40.610333,,
42512488,-73.915694,40.617065,,traffic_signals
42512491,-73.913877,40.615432,,traffic_signals
42512492,-73.9122302,40.6139139,,
42512495,-73.9119942,40.6136966,,
42512499,-73.9107559,40.6125949,,
42512553,-73.9133,40.608305,,
42513967,-73.919706,40.611607,,traffic_signals
42514219,-73.915173,40.6107712,,
42516338,-73.9149969,40.6108913,,
42516345,-73.9156907,40.6103088,,
42516346,-73.9157922,40.6101182,,
42517808,-73.905474,40.60686,,
42517855,-73.910224,40.605539,,
42518633,-73.9141123,40.6090023,,
42518636,-73.9138999,40.6088285,,
42518640,-73.912696,40.607761,,
42518643,-73.911483,40.606673,,
42518830,-73.9116447,40.6141226,,
42518845,-73.9113175,40.6143294,,
42518853,-73.9098788,40.6152375,,
42522247,-73.9135,40.618484,,
42522250,-73.911682,40.616851,,traffic_signals
42524226,-73.919371,40.61469,,traffic_signals
42524228,-73.917561,40.613055,,traffic_signals
42524262,-73.919608,40.614535,,
42529305,-73.916897,40.619571,,
42529314,-73.914928,40.617561,,
42529318,-73.91311,40.615929,,traffic_signals
42530336,-73.917196,40.616092,,traffic_signals
42530338,-73.915388,40.614457,,
42531013,-73.923684,40.6119,,
42531067,-73.924143,40.611609,,
42533872,-73.9222475,40.6128304,,traffic_signals
544348752,-73.9235349,40.6108995,,
544348759,-73.9230689,40.6111099,,
1916425971,-73.9137245,40.6098469,,
1916427301,-73.9128168,40.6119164,,
2441149061,-73.9071096,40.6097296,,
2467305969,-73.9146063,40.6197098,,
2806921332,-73.917089,40.6179313,,
2806921334,-73.9168327,40.6181084,,traffic_signals
3527276327,-73.9208043,40.6081186,,traffic_signals
3527276331,-73.9225658,40.6097041,,traffic_signals
3527276336,-73.9244959,40.6113883,,traffic_signals
4202932333,-73.9226662,40.6097957,,traffic_signals
4202932334,-73.9224492,40.6099497,,traffic_signals
4202932335,-73.9218804,40.6103053,,
4202932337,-73.9211651,40.610754,,
4202932338,-73.920463,40.6112156,,traffic_signals
5210341245,-73.9141599,40.6089219,,
5369529454,-73.916435,40.6072043,,
5369529455,-73.9142582,40.608606,,
5369529456,-73.9140366,40.6089551,,
5369529458,-73.9164854,40.6072532,,
5369529459,-73.9137365,40.6095958,,
5369529460,-73.913426,40.6102533,,
5369529461,-73.9131122,40.61093,,
5369529462,-73.9128004,40.6116385,,
5369529463,-73.9119132,40.6136252,,
5369529494,-73.9119424,40.6137827,,
5376959058,-73.9120514,40.6138747,,
5376959059,-73.9118612,40.6137098,,
5376959060,-73.9132553,40.612027,,
5376959061,-73.9137138,40.6118585,,
5554352645,-73.9154569,40.6190682,,
