osmid,x,y,ref,highway
42720460,-73.801685,40.864327,,
42720467,-73.8018453,40.8647714,,
42725310,-73.8260723,40.8565467,,
42725357,-73.8260467,40.8532123,,
42726009,-73.8170542,40.8724807,,motorway_junction
42726038,-73.8122562,40.8698197,,
42729080,-73.8016307,40.8653069,,
42729148,-73.8108294,40.8703375,,
42735260,-73.8169373,40.887272,,
42737140,-73.808945,40.886998,,
42742186,-73.8262528,40.8597132,,
42744640,-73.8254288,40.8599793,,
42751604,-73.8100952,40.8873166,,
42753176,-73.825884,40.846669,,
42753203,-73.8265642,40.8516031,,
42756975,-73.8187658,40.8726418,5,motorway_junction
42758957,-73.819151,40.84817,,
42759718,-73.8245962,40.860252,,
42766007,-73.807773,40.886675,,
42766015,-73.7996999,40.8672702,,
42766058,-73.79932,40.868125,,
42766063,-73.799399,40.86827,,
42766080,-73.799872,40.868389,,
42766124,-73.800455,40.867308,,
42766139,-73.800043,40.867147,,
42766150,-73.7960414,40.866325,,
42766207,-73.8021223,40.8621797,,
42766215,-73.8010782,40.8656153,,
42766226,-73.800442,40.866848,,
42766247,-73.79944,40.868718,,
42771927,-73.8167055,40.8888552,,
42772379,-73.813713,40.864592,,
42772381,-73.8129113,40.8658536,,
42772425,-73.8149269,40.8633046,,
42772429,-73.8132889,40.8659705,,
42772607,-73.8041909,40.861563,,
42772766,-73.800885,40.8595071,,
42773071,-73.8166445,40.8893012,,
42781732,-73.797437,40.884073,,
60654234,-73.8135718,40.8703125,,
60654254,-73.8200104,40.8699613,,
60654338,-73.8184568,40.8757635,,
65477451,-73.8140169,40.8647053,,
65499850,-73.8260928,40.8567174,,
254215015,-73.8020766,40.8855727,,
254221708,-73.8053575,40.8865582,,
460417281,-73.816077,40.8834726,6,motorway_junction
460418013,-73.8154359,40.8863928,,
460512016,-73.8108326,40.8685805,,
460512094,-73.810066,40.8691628,,
460512147,-73.8105076,40.8696966,,
470205692,-73.8268498,40.8480173,,
470205768,-73.826253,40.8531904,8B,motorway_junction
470548159,-73.8016003,40.8539851,,
471287256,-73.8176425,40.8596744,,
471287388,-73.8214807,40.8573182,,
471287401,-73.8185866,40.858797,,
471287544,-73.8208316,40.8568495,,
471288579,-73.8020365,40.8597324,,
471288768,-73.8021319,40.8614786,,
471288776,-73.80258,40.8608789,,
471288828,-73.8033669,40.8611151,,
471288924,-73.8028321,40.8600187,,
471288934,-73.8013499,40.8603751,,
473236426,-73.8205107,40.8618294,,
596582501,-73.8270439,40.8590935,,
596583384,-73.8266157,40.856962,,
596583533,-73.8264161,40.8569513,8C,motorway_junction
596583950,-73.8257814,40.853478,,
596584019,-73.8233053,40.8551228,,
767387931,-73.8208853,40.8567978,,
767388105,-73.8226247,40.8572674,,motorway_junction
767388115,-73.8221969,40.8573821,,
767388127,-73.8225275,40.8570237,,
772812064,-73.8133905,40.8650331,,
772812121,-73.8131993,40.8643823,,
772812395,-73.8140495,40.8642637,,
772813029,-73.8160151,40.8713926,,
772813411,-73.8191101,40.8709899,5,motorway_junction
775397819,-73.8024673,40.8609194,,
775397872,-73.8017324,40.8608829,,
775397889,-73.802977,40.8604285,,
775398796,-73.8015112,40.8647047,,
775401018,-73.798863,40.869868,,
775403321,-73.7946252,40.8646576,,
854832935,-73.8035669,40.884676,,
854832955,-73.8038587,40.884777,,
1344102799,-73.8128531,40.8866882,,
1344114480,-73.8157064,40.886746,14,motorway_junction
1344909803,-73.8116053,40.8691227,,
1344909844,-73.8109631,40.8685871,,
1344909893,-73.8113324,40.8696144,,
1858043576,-73.8262903,40.8559143,,
1858043578,-73.8263213,40.8562131,,
3588034512,-73.8127193,40.8882005,,
4566247405,-73.7993947,40.8843452,,
