osmid,x,y,ref,highway
42785861,-73.748881,40.720137,,
42785871,-73.74803,40.720404,,
42785876,-73.747195,40.720662,,
42785881,-73.746341,40.720927,,
42785886,-73.7453541,40.7212462,,
42785888,-73.744325,40.721441,,
42785890,-73.74357,40.721868,,
42785892,-73.742841,40.722316,,
42785894,-73.742084,40.722783,,
42785899,-73.741326,40.72325,,
42785902,-73.7406179,40.7236937,,
42785905,-73.739864,40.724146,,
42786030,-73.7343549,40.7188894,,
42786167,-73.7340336,40.7128261,,
42786170,-73.734381,40.712203,,
42786174,-73.734705,40.7116,,
42786183,-73.735749,40.709655,,
42786185,-73.735819,40.709558,,
42786188,-73.736098,40.709021,,
42786191,-73.736468,40.708334,,
42786246,-73.733463,40.717945,,
42786248,-73.733367,40.717466,,
42786253,-73.733062,40.715916,,
42786272,-73.733558,40.715859,,
42786275,-73.733464,40.715162,,
42786279,-73.733567,40.714956,,
42786284,-73.733851,40.714303,,
42786286,-73.734124,40.713648,,
42786290,-73.7344095,40.7129624,,
42787755,-73.734688,40.714505,,
42787758,-73.732306,40.71393,,
42787763,-73.731428,40.713718,,
42787772,-73.730548,40.713501,,
42787776,-73.729679,40.713294,,
42787789,-73.738019,40.714401,,
42787790,-73.735683,40.71427,,
42789116,-73.7294202,40.7115634,,
42792144,-73.7303077,40.717721,,
42793214,-73.7547754,40.7252617,,
42802922,-73.7280243,40.7120843,,
42802929,-73.727151,40.710143,,
42805490,-73.7453274,40.6940655,,
42805566,-73.741676,40.703384,,
42805569,-73.742208,40.702136,,
42805572,-73.742531,40.701463,,
42805576,-73.742799,40.700831,,
42805578,-73.743279,40.699782,,
42805581,-73.743531,40.699239,,
42805584,-73.74392,40.69826,,
42805587,-73.744017,40.698018,,
42805590,-73.744259,40.697312,,
42805595,-73.744427,40.696834,,
42805600,-73.744584,40.696364,,
42805605,-73.745115,40.694838,,
42806945,-73.738566,40.710455,,
42806948,-73.73885,40.709896,,
42806952,-73.739177,40.709241,,
42806956,-73.739512,40.708602,,
42806961,-73.740133,40.707611,,
42807016,-73.751814,40.720498,,
42807017,-73.751259,40.719989,,
42807020,-73.750716,40.719464,,
42807024,-73.749937,40.718347,,
42807033,-73.747216,40.711572,,
42807034,-73.746836,40.710668,,
42807039,-73.747733,40.714158,,
42807041,-73.74671,40.711686,,
42808140,-73.740777,40.70268,,
42808143,-73.738196,40.702595,,
42808145,-73.736249,40.702537,,
42808148,-73.734304,40.702478,,
42808150,-73.732354,40.702419,,
42808153,-73.73041,40.702358,,
42808155,-73.727741,40.702279,,
42811036,-73.7492597,40.7075267,,
42811038,-73.747776,40.707861,,
42811046,-73.745377,40.708394,,
42814616,-73.750293,40.707553,,
42814618,-73.749472,40.7079,,traffic_signals
42814620,-73.748614,40.70825,,
42814622,-73.748018,40.708505,,
42814624,-73.747645,40.7087,,
42814627,-73.7469035,40.7091029,,
42814631,-73.7458227,40.7094628,,traffic_signals
42814633,-73.745181,40.7096,,
42814638,-73.744858,40.70967,,
42814643,-73.7443,40.709784,,
42814648,-73.743963,40.709856,,
42814653,-73.743345,40.709986,,
42814656,-73.743051,40.710047,,
42814661,-73.742141,40.710248,,
42814668,-73.741303,40.710488,,
42814675,-73.740847,40.710632,,
42814681,-73.740401,40.710776,,
42814683,-73.739951,40.710928,,
42814687,-73.739419,40.7111,,traffic_signals
42814690,-73.737649,40.711662,,
42814695,-73.73757,40.711684,,
42819867,-73.74238,40.708287,,
42819869,-73.742014,40.707299,,
42819876,-73.744215,40.714499,,
42819878,-73.743996,40.713312,,
42819881,-73.743948,40.713061,,
42819884,-73.743742,40.712006,,
42819888,-73.743566,40.711116,,
42819943,-73.750034,40.72681,,
42819946,-73.748917,40.725764,,
42819949,-73.746662,40.723639,,
42819952,-73.74548,40.722529,,
42819958,-73.743233,40.720417,,
42819963,-73.742816,40.72003,,
42819967,-73.741663,40.718412,,
42819970,-73.7407746,40.7171426,,
42820854,-73.741753,40.715727,,
42820856,-73.741385,40.715626,,stop
42820859,-73.740281,40.715331,,
42820861,-73.738847,40.714941,,
42820867,-73.737935,40.71482,,
42820921,-73.752288,40.712269,,
42820925,-73.751377,40.712488,,
42820939,-73.737883,40.715082,,
42820941,-73.7355824,40.7149511,,traffic_signals
42820944,-73.734085,40.715083,,
42820946,-73.731722,40.71537,,
42820950,-73.730993,40.715453,,
42820953,-73.729479,40.715672,,
42820960,-73.749964,40.712754,,
42820963,-73.749537,40.712858,,
42822781,-73.7540856,40.7139214,,
42822784,-73.7530971,40.7141416,,
42822787,-73.7522436,40.7144059,,
42822791,-73.7513416,40.7146859,,
42822795,-73.7504551,40.714923,,
42822798,-73.7493894,40.7151956,,
42822804,-73.7470678,40.7157007,,
42822809,-73.7465697,40.715799,,
42822811,-73.7456669,40.7160387,,
42822818,-73.7447872,40.7162063,,
42822823,-73.7439043,40.7164027,,
42822827,-73.7429434,40.7166523,,
42822829,-73.7417104,40.7169289,,
42822832,-73.73984,40.7173656,,
42822835,-73.7389073,40.7175586,,
42822842,-73.737911,40.7177644,,
42822847,-73.7373477,40.7178834,,
42822851,-73.7369896,40.71799,,
42822855,-73.7361051,40.7181067,,
42822859,-73.7353125,40.7184066,,
42822864,-73.7331681,40.7195501,,
42822867,-73.7323326,40.7202453,,
42822873,-73.7309847,40.721527,,
42823688,-73.731522,40.717551,,
42823777,-73.7375023,40.7169456,,
42823778,-73.735433,40.717034,,traffic_signals
42823783,-73.7354204,40.717171,,traffic_signals
42823785,-73.73429,40.717335,,
42823788,-73.73246,40.717594,,
42825434,-73.744308,40.705577,,
42825437,-73.742091,40.705072,,
42825442,-73.740076,40.704596,,
42825450,-73.745959,40.704551,,
42825453,-73.744099,40.705038,,
42825470,-73.739976,40.704868,,
42825472,-73.738077,40.704807,,
42825480,-73.736129,40.704747,,
42825483,-73.734183,40.704685,,
42825488,-73.732236,40.704626,,
42825493,-73.730291,40.704567,,
42825496,-73.727842,40.704491,,
42826272,-73.749741,40.710965,,
42826274,-73.749121,40.709475,,
42826279,-73.7502691,40.712325,,
42826285,-73.747525,40.705963,,
42826287,-73.747124,40.704988,,
42826292,-73.746518,40.703637,,
42826296,-73.745909,40.702287,,
42826298,-73.745001,40.700262,,
42826305,-73.744092,40.698223,,
42826316,-73.759004,40.723774,,
42826338,-73.75808,40.723129,,
42826342,-73.757286,40.72257,,
42826346,-73.756109,40.721037,,
42826349,-73.754749,40.719217,,
42826354,-73.753471,40.717503,,
42826357,-73.753315,40.717296,,
42826362,-73.752193,40.715793,,
42826401,-73.750882,40.713712,,
42826404,-73.750536,40.712871,,
42828917,-73.736455,40.712042,,
42831125,-73.7548928,40.7241838,,traffic_signals
42831128,-73.753391,40.7229378,,
42831130,-73.7522149,40.7219794,,
42831131,-73.7510302,40.7210405,,traffic_signals
42831136,-73.7504654,40.7205708,,
42831140,-73.7498487,40.7200778,,traffic_signals
42831145,-73.7490629,40.7186204,,
42831148,-73.7487261,40.7169489,,
42831407,-73.748235,40.729902,,
42831409,-73.747656,40.729356,,
42831415,-73.746046,40.727688,,
42831417,-73.743685,40.725469,,
42831423,-73.742505,40.72436,,
42831432,-73.739488,40.721525,,
42831436,-73.739141,40.721091,,
42831440,-73.738702,40.720462,,
42831443,-73.738264,40.719831,,
42831495,-73.737601,40.716458,,
42831497,-73.737743,40.715766,,
42835084,-73.739109,40.712811,,
42835088,-73.737283,40.712295,,
42835149,-73.751566,40.71053,,
42835152,-73.750656,40.710747,,
42835157,-73.749387,40.711052,,
42835160,-73.748843,40.711183,,
42835164,-73.7478542,40.7113985,,
42835172,-73.746276,40.711723,,
42835175,-73.745023,40.711851,,
42835178,-73.744706,40.711889,,
42835182,-73.74245,40.712144,,
42835191,-73.741155,40.712259,,
42835219,-73.736398,40.712127,,
42835221,-73.735539,40.71186,,
42835229,-73.733561,40.711268,,
42835233,-73.731781,40.710819,,stop
42835235,-73.729982,40.710364,,
42844989,-73.7296712,40.7204798,,
42845004,-73.729668,40.711006,,
42845009,-73.730268,40.709713,,
42845012,-73.730554,40.70906,,
42845015,-73.730832,40.708407,,stop
42845018,-73.731125,40.707758,,
42845021,-73.73141,40.707107,,
42845023,-73.731575,40.706726,,
42845026,-73.731873,40.706046,,
42845028,-73.732174,40.705352,,
42845033,-73.732274,40.703898,,
42845036,-73.7323129,40.7031685,,
42845040,-73.732392,40.701705,,
42845593,-73.756382,40.718516,,
42845597,-73.755566,40.718867,,
42845603,-73.753931,40.719572,,
42845610,-73.753133,40.719915,,
42845615,-73.752334,40.720262,,stop
42845623,-73.750259,40.72159,,
42845627,-73.749579,40.722014,,
42845631,-73.748895,40.722436,,
42845636,-73.748159,40.722831,,
42845641,-73.747391,40.723193,,
42845646,-73.745932,40.724087,,
42845650,-73.745201,40.724539,,
42845653,-73.744447,40.725009,,
42845658,-73.7429789,40.7259137,,
42845661,-73.742225,40.726366,,
42847592,-73.743039,40.715398,,
42847596,-73.741281,40.715855,,
42847600,-73.738528,40.716496,,
42847602,-73.735483,40.716344,,
42847603,-73.734124,40.716506,,
42848300,-73.748544,40.706919,,
42848304,-73.747878,40.706303,,
42848310,-73.747197,40.705681,,
42848315,-73.746821,40.705329,,
42848319,-73.746591,40.705128,,stop
42848323,-73.745851,40.704448,,
42848328,-73.74531,40.70395,,
42848334,-73.744354,40.703204,,
42848338,-73.743862,40.702811,,
42848345,-73.743091,40.702397,,
42848349,-73.742917,40.702335,,
42848353,-73.741143,40.701808,,
42849353,-73.738038,40.705534,,
42849359,-73.738118,40.704082,,
42849363,-73.7381564,40.703309,,
42849367,-73.738233,40.701885,,
42849501,-73.733987,40.71581,,
42849512,-73.746254,40.730216,,
42849520,-73.7455024,40.7295017,,
42849524,-73.744588,40.728586,,
42849528,-73.741047,40.725257,,
42849532,-73.737673,40.722147,,
42849584,-73.7349204,40.7129864,,
42849587,-73.736628,40.709843,,
42849589,-73.737165,40.708857,,
42849594,-73.73676,40.719585,,
42849599,-73.7378387,40.722093,,
42849602,-73.737344,40.720978,,
42849935,-73.746786,40.714369,,
42849939,-73.746751,40.714223,,
42849943,-73.74649,40.712838,,
42849949,-73.746133,40.711001,,
42849958,-73.745109,40.707681,,
42849962,-73.744847,40.706965,,
42849966,-73.744576,40.706283,,
42849969,-73.744355,40.705705,,
42849976,-73.743988,40.704737,,
42849978,-73.743834,40.704338,,
42849981,-73.743307,40.70296,,
42850037,-73.754087,40.724695,,traffic_signals
42850041,-73.752629,40.723513,,
42850044,-73.751451,40.722555,,
42850049,-73.749126,40.720589,,
42850053,-73.7481068,40.7186834,,
42850056,-73.747322,40.717244,,
42853557,-73.7468368,40.6975247,,traffic_signals
42853560,-73.745857,40.697777,,
42853563,-73.744974,40.698008,,
42853567,-73.744538,40.698112,,
42853911,-73.7465538,40.6967931,,
42858601,-73.742367,40.704376,,
42858606,-73.740332,40.703895,,
42858684,-73.74925,40.702928,,traffic_signals
42858687,-73.748293,40.703178,,
42858690,-73.747405,40.703411,,
42858695,-73.745631,40.703868,,
42858726,-73.740241,40.704145,,
42858729,-73.736169,40.704019,,
42858733,-73.734222,40.703959,,
42858739,-73.73033,40.703841,,
42858743,-73.727802,40.703772,,
42859416,-73.732568,40.718141,,
42859418,-73.732134,40.716027,,
42859571,-73.732032,40.714582,,
42859575,-73.732575,40.713277,,
42859578,-73.73294,40.712549,,
42859581,-73.733271,40.711921,,
42859584,-73.733843,40.710619,,
42859586,-73.734129,40.709967,,
42859589,-73.73441,40.709317,,
42859593,-73.7347,40.708668,,
42859626,-73.736078,40.705474,,
42859631,-73.7362094,40.7032509,,
42859634,-73.736287,40.701826,,
42859637,-73.736324,40.701085,,
42859668,-73.731946,40.71479,,
42859715,-73.7438374,40.719884,,
42859719,-73.742504,40.720865,,
42859725,-73.741774,40.721313,,
42859729,-73.741016,40.72178,,
42859784,-73.754714,40.722028,,
42859789,-73.752073,40.718497,,
42859792,-73.751577,40.717836,,
42859795,-73.750507,40.716404,,
42860921,-73.757514,40.720035,,
42860924,-73.756811,40.720538,,
42860928,-73.755401,40.721541,,
42860933,-73.754331,40.722309,,
42860938,-73.753944,40.722607,,
42861036,-73.751912,40.723947,,
42861038,-73.75119,40.724379,,
42861041,-73.750418,40.724846,,
42861043,-73.749642,40.725314,,
42861048,-73.748187,40.726214,,
42861051,-73.74751,40.72671,,
42861057,-73.746804,40.727223,,stop
42861062,-73.7453379,40.7281327,,
42861842,-73.752385,40.726594,,
42861849,-73.749841,40.727811,,
42862850,-73.754013,40.717098,,
42862852,-73.752763,40.718007,,
42862854,-73.751383,40.718988,,
42862856,-73.748386,40.721017,,
42862859,-73.747675,40.721432,,
42862860,-73.746972,40.721775,,
42862962,-73.746826,40.721829,,
42862965,-73.746253,40.722071,,
42862973,-73.744748,40.722982,,
42862977,-73.744021,40.723426,,
42862983,-73.743264,40.723894,,
42862988,-73.7417969,40.7248027,,
42864941,-73.743503,40.717666,,
42864943,-73.742507,40.718068,,
42864947,-73.740819,40.718754,,
42864951,-73.73996,40.719101,,
42864958,-73.7391,40.719452,,
42864965,-73.736026,40.720557,,
42864974,-73.750912,40.715523,,
42864978,-73.7496226,40.7159287,,
42865684,-73.745501,40.714362,,
42865687,-73.742926,40.71464,,
42865691,-73.741633,40.714786,,
42865698,-73.741073,40.714852,,
42865774,-73.753607,40.713071,,
42865776,-73.752707,40.71328,,
42865780,-73.751794,40.713502,,
42865786,-73.7493002,40.7137962,,
42865795,-73.735535,40.715656,,
42865803,-73.731166,40.716146,,
42865806,-73.729383,40.716412,,
42865815,-73.738692,40.715727,,
42865822,-73.7488206,40.7139425,,
42865847,-73.738118,40.723644,,
42868794,-73.7547368,40.714694,,
42868839,-73.748951,40.702266,,
42868845,-73.748643,40.701587,,traffic_signals
42868848,-73.748329,40.700887,,
42868851,-73.748041,40.700239,,
42868856,-73.74773,40.699553,,traffic_signals
42868860,-73.747412,40.698844,,
42868869,-73.747124,40.698198,,
42868876,-73.7462588,40.6961032,,traffic_signals
42868879,-73.7457706,40.6950417,,traffic_signals
42870649,-73.761841,40.724337,,
42873278,-73.749672,40.713195,,
42873790,-73.751721,40.726006,,traffic_signals
42873806,-73.745561,40.719479,,
42873810,-73.744792,40.718033,,
42873860,-73.743281,40.708085,,
42873863,-73.742755,40.706747,,
42878065,-73.746977,40.70576,,
42878080,-73.741528,40.706448,,
42878083,-73.739558,40.705985,,
42878536,-73.7410574,40.701981,,
42878542,-73.734339,40.701766,,
42878549,-73.730449,40.701647,,
42878552,-73.727707,40.701565,,
42878829,-73.757974,40.722091,,
42878836,-73.754188,40.717026,,
42878838,-73.753008,40.715441,,
42878847,-73.762529,40.725621,,
42878934,-73.750032,40.709255,,
42878938,-73.748624,40.706121,,
42878942,-73.748012,40.704756,,
42878949,-73.746795,40.702058,,
42878953,-73.745888,40.70003,,
42883225,-73.741665,40.7150188,,traffic_signals
42883233,-73.74141,40.713593,,
42883238,-73.741283,40.712923,,
42883243,-73.7410197,40.7115631,,
42883246,-73.740992,40.7114,,
42883275,-73.7484525,40.7288502,,
42883277,-73.747635,40.728027,,traffic_signals
42883286,-73.74025,40.721064,,
42883292,-73.739982,40.720715,,
42883298,-73.739545,40.72009,,
42883399,-73.740577,40.708693,,
42886866,-73.732921,40.708215,,
42886870,-73.729363,40.70731,,
42886873,-73.727949,40.706953,,
42887742,-73.741395,40.70133,,
42887746,-73.735387,40.701055,,
42887748,-73.734378,40.701023,,
42887749,-73.733419,40.700992,,
42890059,-73.745237,40.696375,,
42890578,-73.736337,40.721234,,
42890601,-73.753821,40.715086,,
42890607,-73.751371,40.716136,,
42890611,-73.749831,40.716613,,
42890616,-73.749396,40.71675,,
42890630,-73.736275,40.721109,,
42890639,-73.746474,40.717508,,
42890642,-73.74564,40.717766,,
42890646,-73.743853,40.718321,,
42891078,-73.739239,40.712104,,
42891106,-73.73444,40.710774,,
42891110,-73.732066,40.710167,,
42891113,-73.728507,40.709263,,
42891116,-73.728081,40.709143,,
42892447,-73.750831,40.726431,,
42892730,-73.7503046,40.7282777,,
42892735,-73.749212,40.727201,,traffic_signals
42892743,-73.741961,40.720357,,
42893827,-73.738929,40.714222,,traffic_signals
42893835,-73.738982,40.7135,,
42894118,-73.741248,40.707127,,
42894119,-73.741804,40.705768,,
42894124,-73.742874,40.703075,,
42894130,-73.737565,40.719347,,
42894617,-73.746775,40.699801,,
42894625,-73.744113,40.70049,,
42894629,-73.743224,40.70072,,
42895759,-73.751309,40.7279718,,
42895766,-73.7501166,40.72842,,
42895768,-73.7494236,40.7285376,,
42895775,-73.746956,40.729788,,
42895782,-73.7497204,40.728687,,
42896023,-73.744134,40.702742,,
42896046,-73.7557562,40.7236349,,
42896048,-73.754911,40.722842,,
42896053,-73.753227,40.721284,,
42896060,-73.75072,40.718104,,
42896064,-73.750255,40.717479,,
42896073,-73.7472445,40.7099189,,
42896406,-73.736588,40.721783,,
42896435,-73.738553,40.721356,,
42896440,-73.7496301,40.7176776,,
42898159,-73.747504,40.707148,,
42898165,-73.747234,40.706437,,
42898821,-73.758337,40.725073,,
42899111,-73.728789,40.708612,,
42899114,-73.729076,40.707962,,
42899118,-73.729647,40.70666,,
42899122,-73.729941,40.705987,,
42899126,-73.730235,40.705293,,
42899134,-73.73037,40.703099,,
42900511,-73.7461751,40.7290576,,
42900519,-73.7386689,40.7218407,,
42900529,-73.7366841,40.7135073,,
42900531,-73.736969,40.712933,,
42900978,-73.738218,40.708819,,
42900984,-73.7356,40.708087,,
42901011,-73.750944,40.709033,,
42901018,-73.748222,40.709692,,
42901030,-73.734506,40.707893,,
42901032,-73.734092,40.707787,,
42901034,-73.733206,40.707565,,
42901043,-73.727914,40.706221,,
42901150,-73.739899,40.709457,,
42901154,-73.738159,40.708931,,
42902923,-73.730906,40.714998,,
42902929,-73.729676,40.714911,,
42902983,-73.7568382,40.7252356,,
42905324,-73.732162,40.720049,,
42905327,-73.730537,40.720282,,
42905744,-73.734889,40.710163,,
42905747,-73.73235,40.709517,,
42905758,-73.728355,40.708504,,
42905772,-73.742281,40.711258,,
42906971,-73.7273421,40.7030392,,
42912600,-73.746264,40.731201,,
42913322,-73.753354,40.725144,,
42913332,-73.747252,40.718955,,
42914518,-73.752608,40.725581,,
42914527,-73.746416,40.719214,,
42914542,-73.745229,40.712945,,
42914575,-73.7444062,40.715735,,
42914605,-73.744179,40.707888,,
42914611,-73.743514,40.706173,,
42915235,-73.731983,40.719352,,
42915248,-73.731068,40.714581,,
42915254,-73.732009,40.712322,,
42915358,-73.734519,40.706813,,
42915971,-73.741466,40.70849,,
42915979,-73.7385078,40.7082658,,traffic_signals
42916086,-73.734987,40.706825,,
42916088,-73.733546,40.706781,,
42916109,-73.735706,40.707421,,
42917732,-73.74122,40.707849,,
42917736,-73.738984,40.707339,,
42918075,-73.749513,40.705889,,
42918078,-73.748897,40.704526,,
42918085,-73.747683,40.701827,,
42918111,-73.758676,40.7216,,
42918117,-73.75501,40.716676,,
42918217,-73.729389,40.716034,,
42918227,-73.729708,40.714252,,
42918232,-73.730307,40.7118253,,
42918759,-73.731494,40.71147,,
42918882,-73.739932,40.713063,,
42919487,-73.75587,40.722168,,
42921059,-73.737507,40.710144,,traffic_signals
42921111,-73.732638,40.708865,,
42922611,-73.748423,40.727578,,
42922625,-73.741107,40.720702,,
42922668,-73.742696,40.713449,,
42926666,-73.730195,40.714371,,
42927872,-73.745024,40.702518,,
42927889,-73.7405,40.703435,,traffic_signals
42927899,-73.7342638,40.7031874,,
42927915,-73.727768,40.703021,,
42928213,-73.739285,40.706666,,
42928256,-73.7352739,40.706151,,
42928258,-73.733842,40.706105,,
42928264,-73.727889,40.705492,,
42928658,-73.74462,40.719747,,
42929842,-73.727876,40.705223,,
42930162,-73.736917,40.722467,,traffic_signals
42930240,-73.75244,40.71757,,
42930246,-73.7497504,40.7184032,,
42930559,-73.756547,40.723088,,
42931148,-73.740063,40.713744,,
42931196,-73.735716,40.71403,,
42932328,-73.740215,40.7146,,
42932334,-73.7358225,40.7132501,,traffic_signals
42932348,-73.7312159,40.7120878,,
42933783,-73.735365,40.717928,,
42933809,-73.739711,40.705583,,
42933813,-73.739815,40.705301,,traffic_signals
42935301,-73.739834,40.709221,,
42938777,-73.7514504,40.7198709,,
42939704,-73.73413,40.705413,,
279146386,-73.7611122,40.725821,21,motorway_junction
279146845,-73.7555739,40.7248069,,
279147483,-73.7544042,40.7265458,,
279147921,-73.7520782,40.7282695,21,motorway_junction
279177880,-73.7295398,40.7112943,,
279178074,-73.7272573,40.7091887,,
279178078,-73.7273774,40.7082583,26B,motorway_junction
279178386,-73.7284579,40.7114975,26B,motorway_junction
279178411,-73.7280192,40.7110513,,
279178414,-73.7291284,40.7116024,,
279178453,-73.7311451,40.7121459,,
279178454,-73.7302658,40.7119196,,
279179012,-73.7291102,40.7145033,,
279179156,-73.7291789,40.7153165,26C,motorway_junction
279179542,-73.7276733,40.7110294,,
279179635,-73.7275864,40.7109924,,
279179882,-73.7272313,40.7107455,,
279180691,-73.7277551,40.7057533,,
279180695,-73.7261672,40.7060006,,
279181078,-73.7271533,40.7030652,26A,motorway_junction
279181420,-73.7267251,40.7027472,,
279181421,-73.7267251,40.7031702,,
279181422,-73.726665,40.702077,,
280229275,-73.7471429,40.7319704,22,motorway_junction
280230122,-73.7625005,40.7235853,,
460232388,-73.7519346,40.7281559,,
460241689,-73.7578202,40.7254791,,
460242081,-73.7559577,40.7251083,,
460242092,-73.755047,40.7240894,,traffic_signals
462806650,-73.7275739,40.7082445,,
588175675,-73.7545153,40.725034,1,motorway_junction
819609387,-73.754615,40.723817,,
2296895402,-73.7364124,40.7180147,,
2328938332,-73.7285796,40.7125152,,
2555629021,-73.74146,40.7012071,,
2555690853,-73.7473921,40.7173725,,
2555693439,-73.7482225,40.7189007,,
2797833824,-73.7465911,40.731601,,
2797860196,-73.7298904,40.7142966,,
2797860198,-73.7296953,40.7145132,,
2807664894,-73.7439761,40.7199672,,
2807664896,-73.7452554,40.720933,,
2807664897,-73.7450677,40.7210077,,
2809107636,-73.7467399,40.7091741,,
2809107638,-73.7476923,40.7114464,,
2814008662,-73.7470782,40.7283648,,
2814008664,-73.7468066,40.7284554,,
2814008666,-73.7468586,40.7286045,,
2814008667,-73.7460276,40.7288572,,
2814008668,-73.745293,40.7292859,,
2881857652,-73.7399897,40.711598,,turning_circle
2991217952,-73.7261347,40.7030631,,
3446523817,-73.7464021,40.728664,,
3581242893,-73.748511,40.715284,,traffic_signals
3581242894,-73.7483924,40.7153106,,
3581242897,-73.7488473,40.7169389,,
3581242898,-73.7491944,40.7185955,,
3581242899,-73.7499544,40.7200137,,traffic_signals
3581242900,-73.7505552,40.7205009,,
3581242901,-73.7511289,40.7209679,,traffic_signals
3581242902,-73.7523289,40.7219057,,
3581242903,-73.7535127,40.7228581,,
4202594004,-73.7361584,40.7182258,,
4202594006,-73.7353217,40.7185271,,
4202594009,-73.7332012,40.7196302,,
4202594010,-73.7324196,40.7202939,,
4202594011,-73.7310468,40.721646,,
4204976500,-73.745322,40.6943904,,
4204976501,-73.7456052,40.694989,,traffic_signals
4204976504,-73.7461184,40.6961391,,traffic_signals
4209314025,-73.7599293,40.721813,,
4626447043,-73.7469836,40.716598,,
4626447044,-73.7479591,40.7163002,,turning_circle
4792678655,-73.7279038,40.7136821,,
4792678656,-73.7279115,40.7137595,,
5137326482,-73.7541459,40.7235573,,
5137326483,-73.7542346,40.7234774,,
5137326484,-73.7538245,40.7232936,,
5137326485,-73.7539174,40.7232052,,
5137326486,-73.7530156,40.7226319,,
5137326487,-73.7531142,40.7225375,,
5137326488,-73.7526806,40.7223589,,
5137326489,-73.7527879,40.722275,,
5137326490,-73.7518288,40.7216665,,
5137326491,-73.751924,40.7215736,,
5137326492,-73.7514637,40.7213706,,
5137326493,-73.7515731,40.7212858,,
5137382066,-73.7530528,40.7140736,,
5137382067,-73.7521868,40.7143327,,
5137382069,-73.7504205,40.7148395,,
5137382080,-73.7388576,40.7174839,,
5137382081,-73.7378869,40.7176914,,
5137382087,-73.7373616,40.7177944,,
5137382088,-73.7428693,40.7165347,,
5137382089,-73.7447455,40.7161195,,
5137382090,-73.7456275,40.7159111,,
5137382097,-73.746544,40.7157124,,
5137382098,-73.7470459,40.7155972,,
5137382099,-73.7484108,40.7154073,,traffic_signals
5137382100,-73.7485341,40.7153836,,traffic_signals
5137382103,-73.7493405,40.7150944,,
5137382104,-73.7512882,40.7145986,,
5137382107,-73.7539552,40.7138301,,
5142961398,-73.7381153,40.713986,,
5142961401,-73.7358149,40.7133588,,traffic_signals
5155326310,-73.7481154,40.72907,,
5155326311,-73.7496372,40.7285664,,
5155326544,-73.7508834,40.72813,,
5155326545,-73.7508844,40.728226,,
5155326546,-73.7487876,40.7287423,,
5155326549,-73.7482202,40.7286163,,
5471815254,-73.7593749,40.7210961,,traffic_signals
5471815259,-73.7558466,40.7163218,,
5471815260,-73.7546549,40.714729,,
5508392231,-73.7391427,40.703341,,
5508392232,-73.7391377,40.703419,,
5508392233,-73.737204,40.7032806,,
5508392234,-73.7332933,40.703156,,
5508392236,-73.733291,40.7032532,,
5508392237,-73.734259,40.7032756,,
5508392239,-73.7352499,40.7033048,,
5508392240,-73.736205,40.7033329,,
5508392241,-73.737197,40.7033619,,
5508392242,-73.7381525,40.7033853,,
5508392244,-73.7352535,40.7032233,,
5601058265,-73.7364591,40.7181141,,
