osmid,x,y,ref,highway
42787866,-73.7364612,40.6665467,,
42787868,-73.735863,40.66658,,
42787872,-73.734837,40.666575,,
42787875,-73.733806,40.666578,,
42787881,-73.729807,40.666432,,
42787999,-73.7364075,40.6664818,,
42800785,-73.725374,40.653634,,
42803433,-73.7349453,40.672356,,
42805952,-73.729212,40.678418,,
42805955,-73.728159,40.678205,,
42805957,-73.727279,40.678167,,
42810260,-73.7445291,40.6388139,,
42810272,-73.746933,40.637031,,
42812780,-73.7310204,40.6653694,,
42812783,-73.732366,40.664653,,
42812787,-73.734018,40.66379,,
42812790,-73.735667,40.662925,,
42812794,-73.737474,40.66198,,
42813281,-73.734193,40.6564852,,
42813285,-73.7342224,40.6558151,,
42813288,-73.7342524,40.6551322,,
42813291,-73.7342837,40.6544182,,
42813296,-73.734315,40.6537051,,
42813304,-73.7343463,40.6529911,,
42813308,-73.734379,40.652247,,
42813321,-73.733937,40.652235,,
42813325,-73.733975,40.651523,,
42813332,-73.7340357,40.6504304,,
42813338,-73.734741,40.659248,,
42813513,-73.742443,40.660869,,
42813515,-73.741263,40.66035,,
42813518,-73.739809,40.659712,,
42813521,-73.7376721,40.658771,,
42813524,-73.735657,40.657888,,
42813552,-73.731926,40.658188,,
42813554,-73.728964,40.658112,,
42813575,-73.729097,40.658287,,
42813579,-73.728616,40.658266,,
42813582,-73.726935,40.658125,,
42813673,-73.726999,40.658311,,
42824488,-73.7407241,40.6355431,,
42825059,-73.732367,40.669128,,
42825061,-73.729302,40.668126,,
42825071,-73.729259,40.668243,,
42827266,-73.74675,40.656302,,
42827268,-73.744847,40.655701,,
42827275,-73.744932,40.655465,,
42827277,-73.743298,40.655424,,
42827282,-73.741778,40.655415,,
42827289,-73.740608,40.655967,,
42827291,-73.7388293,40.6559421,,
42827295,-73.7367236,40.6558971,,
42827296,-73.73191,40.655753,,
42827297,-73.729604,40.65569,,
42827300,-73.7271333,40.6556544,,
42827303,-73.726429,40.655597,,
42831932,-73.742232,40.656132,,
42831935,-73.74137,40.654699,,
42831938,-73.740969,40.653982,,
42831941,-73.740576,40.653277,,
42831944,-73.740167,40.652545,,
42831946,-73.739951,40.652167,,
42832052,-73.742754,40.652537,,
42832054,-73.742971,40.65216,,
42832071,-73.7375924,40.6652746,,
42832074,-73.737985,40.664677,,
42832076,-73.738452,40.664059,,
42832079,-73.73892,40.66344,,
42832083,-73.73939,40.662822,,
42832086,-73.739857,40.662204,,
42832090,-73.740326,40.661586,,
42832092,-73.740795,40.660967,,
42832100,-73.741731,40.659731,,
42832105,-73.742199,40.659114,,
42832109,-73.742516,40.658705,,
42832116,-73.7328035,40.6735848,,
42832119,-73.733836,40.671947,,
42832125,-73.734576,40.670637,,
42832135,-73.735319,40.669327,,
42832138,-73.736062,40.668014,,
42832143,-73.736713,40.666854,,
42832207,-73.743287,40.656135,,
42832211,-73.743307,40.654709,,
42832214,-73.743312,40.653994,,
42832217,-73.743318,40.653281,,
42832221,-73.743325,40.652538,,
42834516,-73.731881,40.656422,,
42834521,-73.731939,40.655072,,
42834525,-73.731972,40.654358,,
42834531,-73.732005,40.653645,,
42834536,-73.732037,40.652931,,
42834542,-73.7320813,40.6522079,,
42834545,-73.7321512,40.6506588,,
42834597,-73.727645,40.659596,,
42834600,-73.729433,40.658688,,
42835279,-73.744956,40.65817,,
42835281,-73.743558,40.658046,,
42836553,-73.728898,40.673446,,
42836555,-73.7277722,40.6730563,,
42837995,-73.7433319,40.6406892,,traffic_signals
42838004,-73.7405696,40.6370803,,
42838008,-73.7401919,40.6361228,,
42844008,-73.72983,40.664694,,
42844017,-73.729746,40.664331,,
42844020,-73.731347,40.663522,,
42844023,-73.732996,40.662657,,
42844027,-73.734645,40.661795,,
42844031,-73.7362532,40.6606203,,
42844033,-73.7367258,40.6600044,,
42844034,-73.7371992,40.6593873,,
42844037,-73.7381447,40.6581552,,
42844041,-73.7386178,40.6575385,,
42844045,-73.7387622,40.6565963,,
42844049,-73.7388434,40.6552091,,
42844054,-73.738885,40.654498,,
42844935,-73.729739,40.677845,,
42844938,-73.728371,40.677556,,
42844942,-73.727498,40.677385,,
42844944,-73.727112,40.67731,,
42849796,-73.746911,40.654109,,
42852154,-73.726444,40.659162,,
42852156,-73.7272607,40.6589832,,
42852837,-73.7409067,40.6359879,,
42853234,-73.736182,40.669607,,
42853237,-73.734457,40.669044,,
42853241,-73.7336,40.668762,,
42853245,-73.732737,40.668477,,
42853249,-73.7310171,40.6678815,,
42853254,-73.7295219,40.6675472,,
42853446,-73.736129,40.6697017,,
42853448,-73.7365252,40.6698267,,
42857008,-73.7283947,40.6574122,,
42857389,-73.742976,40.660285,,
42857393,-73.740281,40.659094,,
42858344,-73.738565,40.652355,,
42858346,-73.7369162,40.6523549,,
42858353,-73.7330179,40.6522277,,
42858358,-73.73113,40.652192,,
42858361,-73.730227,40.652178,,
42858366,-73.729767,40.652165,,
42858394,-73.7268968,40.6520917,,
42858755,-73.732225,40.672974,,
42858756,-73.731369,40.672693,,
42858758,-73.730504,40.672407,,
42858764,-73.729648,40.672127,,
42858768,-73.728787,40.671846,,
42863248,-73.74197,40.661484,,
42863252,-73.739342,40.66033,,
42863260,-73.7356516,40.6587189,,
42863313,-73.731901,40.658734,,
42863315,-73.729625,40.658882,,
42863346,-73.731619,40.675855,,
42863349,-73.729666,40.675187,,
42863951,-73.7442406,40.6590013,,
42867691,-73.729532,40.670534,,
42867695,-73.729903,40.669875,,
42867699,-73.730266,40.669222,,
42867729,-73.732872,40.665213,,
42867732,-73.734528,40.664355,,
42867735,-73.736177,40.663491,,
42867747,-73.731398,40.667253,,
42869213,-73.737398,40.667579,,
42869230,-73.7356629,40.6656131,,
42869238,-73.7353634,40.665289,,
42869244,-73.735033,40.66492,,
42869269,-73.7335301,40.6632566,,
42869285,-73.732486,40.662092,,
42869300,-73.731977,40.661527,,
42869312,-73.731464,40.660962,,
42869319,-73.730956,40.660403,,
42869324,-73.730466,40.659819,,
42869329,-73.729944,40.659259,,
42869344,-73.7276148,40.6563377,,
42869352,-73.7264676,40.6549981,,traffic_signals
42869851,-73.747675,40.654333,,
42869856,-73.746133,40.653852,,
42869862,-73.735396,40.656832,,
42871243,-73.7268624,40.6527559,,
42871260,-73.729274,40.672786,,
42871262,-73.7279267,40.6723403,,
42872437,-73.736944,40.6683044,,
42872442,-73.7352,40.667734,,
42872447,-73.734344,40.667451,,
42872452,-73.73348,40.667169,,
42872525,-73.736678,40.668736,,
42872526,-73.737121,40.668877,,
42874754,-73.7404701,40.6641287,,
42874760,-73.737469,40.662802,,
42875458,-73.7395496,40.665256,,
42875461,-73.7392365,40.6652534,,
42875466,-73.7370666,40.6652796,,
42875469,-73.7356569,40.665292,,
42875472,-73.7342998,40.6653058,,
42875473,-73.7330432,40.6653646,,
42875476,-73.7325341,40.6653811,,
42875479,-73.729849,40.665348,,
42877954,-73.728785,40.669544,,
42878287,-73.734595,40.672199,,
42878292,-73.732972,40.671663,,
42878297,-73.732115,40.671382,,
42878300,-73.731247,40.671098,,
42878303,-73.73039,40.670816,,
42878308,-73.728543,40.670225,,
42882628,-73.727831,40.6787201,,
42882631,-73.727258,40.678727,,
42882634,-73.72638,40.678771,,
42884541,-73.741546,40.636095,,
42884734,-73.729238,40.662957,,
42884735,-73.730326,40.662391,,
42884741,-73.733624,40.660664,,
42884744,-73.735263,40.659809,,
42884758,-73.729399,40.663388,,
42886315,-73.7280754,40.6602292,,
42886323,-73.7330938,40.6505422,,
42888491,-73.738145,40.651628,,
42888494,-73.7368209,40.6516178,,
42888497,-73.735848,40.651575,,
42888501,-73.734913,40.651552,,
42890272,-73.731856,40.664086,,
42890275,-73.730838,40.662956,,
42890276,-73.729817,40.661824,,
42890277,-73.729308,40.661261,,
42890278,-73.728555,40.660979,,
42890537,-73.741561,40.662131,,
42890540,-73.738873,40.660946,,
42891391,-73.740018,40.664748,,
42891397,-73.737,40.66342,,
42892516,-73.730079,40.676532,,
42892518,-73.729079,40.67619,,
42892528,-73.727635,40.675696,,
42894426,-73.733714,40.670354,,
42894429,-73.732852,40.670073,,
42894435,-73.731989,40.669791,,
42894439,-73.731136,40.669506,,
42894442,-73.7290336,40.6688608,,
42895358,-73.7302699,40.6510042,,
42895368,-73.729574,40.65636,,
42895372,-73.729633,40.655011,,
42895374,-73.729668,40.654297,,
42895378,-73.729705,40.65359,,
42895380,-73.729733,40.652869,,
42895679,-73.747159,40.655669,,
42895682,-73.746363,40.656918,,
42902329,-73.739785,40.654526,,
42902332,-73.7368186,40.6544754,,
42902338,-73.7263656,40.6542201,,
42902355,-73.745685,40.654447,,
42902368,-73.746012,40.654012,,
42903523,-73.736065,40.664654,,
42904276,-73.729704,40.666907,,
42904278,-73.729753,40.666718,,
42904285,-73.7298493,40.6655502,,
42904289,-73.72987,40.665095,,
42904293,-73.729617,40.663983,,
42904294,-73.729486,40.66364,,
42904296,-73.7289724,40.6622644,,
42904299,-73.728706,40.661569,,
42904304,-73.7284827,40.6608622,,
42904345,-73.726472,40.653512,,
42904348,-73.7264934,40.6527428,,
42905584,-73.74548,40.654716,,
42905594,-73.740193,40.655257,,
42905596,-73.7367621,40.6551682,,
42905608,-73.745224,40.655063,,
42906839,-73.73206,40.675256,,
42906842,-73.73003,40.674558,,
42909867,-73.728767,40.673672,,
42909891,-73.7353767,40.6647484,,
42909931,-73.739937,40.658117,,
42910761,-73.7408018,40.6634515,,
42910765,-73.7379244,40.6621764,,
42910774,-73.736606,40.661596,,
42914373,-73.735918,40.650017,,
42914390,-73.7282554,40.6616545,,
42914412,-73.732605,40.659532,,
42916702,-73.7439285,40.6394569,,
42916741,-73.7465883,40.6366353,,
42917975,-73.735157,40.662361,,
42917980,-73.7370768,40.6609885,,
42919102,-73.736593,40.6639674,,
42919111,-73.734136,40.66123,,
42919116,-73.733115,40.660099,,
42919121,-73.732093,40.658969,,
42919136,-73.736527,40.6640544,,
42921153,-73.7465399,40.6525383,,
42921158,-73.741735,40.652534,,
42921163,-73.740697,40.652526,,
42921172,-73.738942,40.653026,,
42921176,-73.7368941,40.6530595,,
42922734,-73.731085,40.676426,,
42922735,-73.7303,40.676154,,
42922739,-73.729302,40.675808,,
42923209,-73.7335379,40.6735896,,
42923215,-73.7318186,40.6737522,,
42923219,-73.7306638,40.6739378,,
42923221,-73.730256,40.6740051,,
42923225,-73.7295672,40.6741077,,
42923886,-73.737014,40.649583,,
42923890,-73.734968,40.650284,,
42923903,-73.731195,40.650787,,
42924558,-73.7384198,40.6615697,,
42924570,-73.740748,40.658476,,
42924601,-73.74092,40.652155,,
42924643,-73.728525,40.676878,,
42924646,-73.728629,40.676568,,
42925288,-73.730317,40.677239,,
42925298,-73.73255,40.674652,,
42925324,-73.736292,40.669414,,
42925332,-73.7391926,40.6656406,,
42925345,-73.741152,40.662774,,
42925351,-73.743543,40.659706,,
42925358,-73.744923,40.656479,,
42925363,-73.744874,40.656145,,
42925375,-73.7464674,40.6533176,,
42925457,-73.736736,40.669542,,
42925473,-73.733108,40.667821,,
42926231,-73.739376,40.653796,,
42926233,-73.7368615,40.6537498,,
42927223,-73.74377,40.656139,,
42928491,-73.735807,40.660378,,
42930082,-73.730731,40.656392,,
42932424,-73.726563,40.679537,,
42932573,-73.743044,40.659484,,
42933974,-73.741044,40.656676,,
42933993,-73.7374273,40.6502975,,
42934366,-73.729735,40.677116,,
42934371,-73.727724,40.67672,,
42936239,-73.736641,40.6565371,,
42939315,-73.741946,40.652151,,
42943059,-73.727825,40.676401,,
261379413,-73.725687,40.68025,,
261447779,-73.725796,40.68136,,
261451209,-73.726543,40.676487,,
261461448,-73.726011,40.678078,,traffic_signals
261461451,-73.726713,40.67609,,
261461453,-73.727141,40.675096,,
261461455,-73.727441,40.674429,,
279183084,-73.7269987,40.6773094,,
279183419,-73.728304,40.670889,,
279184096,-73.7279096,40.6646843,,
279184499,-73.727889,40.6632277,,turning_circle
279184500,-73.7278838,40.6639876,,turning_circle
279185450,-73.7302957,40.6506786,,
279185458,-73.7279096,40.6517465,,
279185474,-73.726525,40.6523282,,
279185716,-73.7368531,40.6493045,,
279186257,-73.7473845,40.6552693,,
279186390,-73.7475047,40.6550284,,
279187748,-73.7419565,40.6384388,,
279187754,-73.7416589,40.6387268,,
279188138,-73.7401997,40.635646,,
279188441,-73.74038,40.6360824,,
279197625,-73.7406547,40.6368073,,
279200082,-73.7411205,40.6365054,,
279200384,-73.7434005,40.6405459,,traffic_signals
279203205,-73.740952,40.6375963,,
330304024,-73.7317725,40.6665795,,
625903494,-73.7266231,40.6803036,,
625904138,-73.7257671,40.6809466,,
1024610039,-73.7347391,40.6575733,,
1024610088,-73.7338266,40.6575545,,
1024610091,-73.7341471,40.6575604,,
1024610095,-73.7356481,40.657556,,
1024610106,-73.7404773,40.6573797,,
1024610116,-73.741532,40.657359,,traffic_signals
1024611562,-73.7439228,40.6573322,,
1024611797,-73.7353744,40.6575822,,
1702843663,-73.737085,40.6559043,,
1702843671,-73.7379254,40.6559228,,
2541848568,-73.7274012,40.6574263,,
2548127560,-73.7354436,40.6709226,,
2678022782,-73.7356071,40.6587941,,
2783697664,-73.7314666,40.6651318,,
2783697673,-73.7317004,40.6653746,,
4209145980,-73.7400247,40.6356847,,
4521705993,-73.7366206,40.6572826,,
4521705995,-73.7364553,40.657335,,
4521705996,-73.7461504,40.6574653,,
4521705997,-73.7387293,40.6573219,,
4521705998,-73.7330091,40.6575153,,
4521705999,-73.7328974,40.6575082,,
4521706000,-73.7319481,40.657487,,
4521706001,-73.7318365,40.657487,,
4521706002,-73.7306685,40.6574659,,
4521706004,-73.7330231,40.6568746,,turning_circle
4521706005,-73.7328276,40.6588021,,
4521706006,-73.7295206,40.6574231,,
4521706008,-73.745061,40.6574208,,traffic_signals
4532594446,-73.7385102,40.6664192,,
4554402632,-73.7430052,40.6572732,,
5587763848,-73.7337635,40.6733161,,
5587763852,-73.733927,40.6736148,,
5587763853,-73.7330422,40.673649,,
5587763854,-73.7332539,40.6738555,,
5587763865,-73.73025,40.6741148,,
5587763866,-73.729533,40.6742263,,
