osmid,x,y,ref,highway
42945868,-74.0739901,40.6261242,,
42947527,-74.079572,40.6307954,,
42947530,-74.0807556,40.6295031,,
42949365,-74.0779221,40.6269254,,
42949367,-74.078702,40.627352,,
42949374,-74.0803705,40.6282762,,traffic_signals
42949378,-74.081256,40.629159,,
42949392,-74.077413,40.6253033,,
42949393,-74.0774994,40.6258158,,
42949395,-74.07762,40.6264924,,
42949749,-74.075682,40.624918,,
42949753,-74.078155,40.624194,,
42949757,-74.079218,40.623871,,
42949806,-74.086281,40.613975,,
42951012,-74.08693,40.6135,,
42952438,-74.078043,40.621563,,
42952439,-74.078638,40.621384,,
42952442,-74.07904,40.621249,,
42952774,-74.085605,40.621143,,
42952775,-74.084301,40.620967,,
42952822,-74.075581,40.620877,,
42953238,-74.085802,40.620365,,
42953239,-74.084471,40.620226,,
42954999,-74.0821601,40.6269732,,
42955001,-74.0822092,40.6266818,,
42955004,-74.082314,40.626121,,
42955007,-74.082371,40.625824,,
42955013,-74.0825437,40.624895,,
42955017,-74.0826262,40.6244401,,
42955020,-74.0827684,40.6236028,,traffic_signals
42955023,-74.08292,40.622677,,
42955027,-74.083571,40.619728,,
42955029,-74.083676,40.618914,,
42960116,-74.076374,40.631271,,
42960118,-74.077492,40.63157,,
42960327,-74.077691,40.619776,,
42961282,-74.080921,40.61895,,
42961284,-74.081497,40.619571,,
42961485,-74.086267,40.617832,,
42961492,-74.085249,40.617511,,
42961501,-74.0848365,40.6174026,,
42961508,-74.083574,40.617008,,
42961513,-74.082744,40.616581,,
42961817,-74.079005,40.620651,,
42961819,-74.078584,40.620188,,
42961823,-74.078054,40.619585,,
42965087,-74.087429,40.614419,,
42965090,-74.086175,40.614062,,
42965536,-74.075344,40.6331384,,
42965539,-74.075959,40.63197,,traffic_signals
42965548,-74.076535,40.63095,,
42965550,-74.0767507,40.6301473,,
42965553,-74.076662,40.629623,,
42965558,-74.0766046,40.6293117,,
42965568,-74.076562,40.629069,,
42965572,-74.0764619,40.6285457,,
42965573,-74.0762963,40.6277799,,
42965578,-74.0762339,40.6276762,,
42965581,-74.075943,40.627166,,
42965584,-74.075647,40.626671,,traffic_signals
42965588,-74.0752487,40.6260116,,
42965592,-74.075031,40.625603,,traffic_signals
42965609,-74.072529,40.6224696,,traffic_signals
42966453,-74.0778664,40.6309771,,
42966457,-74.078627,40.631225,,
42966863,-74.079389,40.618886,,
42966866,-74.079923,40.619482,,
42968127,-74.075983,40.6255161,,
42968129,-74.0785414,40.6249492,,
42968133,-74.0795897,40.624615,,traffic_signals
42968144,-74.0803351,40.6243721,,
42968149,-74.0838217,40.6232702,,traffic_signals
42968153,-74.0852477,40.6228209,,traffic_signals
42968246,-74.080734,40.625115,,
42968247,-74.080152,40.625427,,
42970991,-74.0830294,40.6287335,,
42971282,-74.08608,40.618515,,
42971285,-74.0849398,40.618158,,
42971288,-74.084036,40.617888,,
42971292,-74.083644,40.617765,,
42972458,-74.07826,40.62199,,traffic_signals
42972462,-74.077855,40.621197,,
42972467,-74.076955,40.620161,,traffic_signals
42972822,-74.086007,40.619094,,
42972825,-74.084782,40.619001,,traffic_signals
42972829,-74.083899,40.618932,,
42972839,-74.081103,40.617789,,
42975694,-74.086041,40.61882,,
42976054,-74.082181,40.621353,,
42976057,-74.081892,40.620828,,
42976307,-74.085583,40.616868,,
42976790,-74.0764529,40.6271391,,
42976792,-74.0775049,40.6277555,,
42976800,-74.0797267,40.6289595,,traffic_signals
42976853,-74.08396,40.618455,,
42976907,-74.0803537,40.6312178,,
42978032,-74.0813856,40.6248348,,
42981344,-74.0752547,40.6277551,,
42981848,-74.08174,40.617311,,
42981850,-74.082249,40.617714,,
42981857,-74.082638,40.618023,,
42982399,-74.0742095,40.627329,,
42984911,-74.085464,40.614582,,
42985401,-74.080869,40.627167,,
42985404,-74.0815912,40.6268605,,
42987860,-74.080943,40.625969,,
42990015,-74.0746738,40.6298093,,
42990024,-74.0744748,40.6287538,,
42990028,-74.0741275,40.6268204,,
42991469,-74.07948,40.619718,,
42991476,-74.080335,40.619258,,
42991479,-74.081274,40.618775,,
42995010,-74.080001,40.618553,,
42995032,-74.0829963,40.627351,,
42995305,-74.083793,40.61581,,
42995440,-74.073814,40.621797,,
42995448,-74.083234,40.61622,,
42995450,-74.083313,40.616163,,
42995456,-74.08405,40.615627,,
42995460,-74.084649,40.615205,,traffic_signals
42995867,-74.08021,40.626285,,
42995871,-74.0811584,40.6258788,,
42997830,-74.0805948,40.6267974,,
42997832,-74.0797602,40.6271558,,
42998487,-74.080958,40.625512,,
42998494,-74.0807,40.6250521,,
42999447,-74.085899,40.619909,,
42999448,-74.084562,40.619808,,
43000773,-74.083917,40.616356,,
43002178,-74.079901,40.620191,,
43006145,-74.0771207,40.6323097,,traffic_signals
43006156,-74.078643,40.630109,,
43006164,-74.079134,40.629573,,
43006169,-74.0808468,40.6274097,,
43006179,-74.0842123,40.6261297,,
43006195,-74.086571,40.61717,,
43006204,-74.087704,40.615527,,
43006719,-74.082345,40.617406,,
43007257,-74.083287,40.626207,,
43010280,-74.077947,40.632549,,
43017779,-74.084786,40.616623,,
43017883,-74.078139,40.629822,,
43018378,-74.0754168,40.629193,,
43018738,-74.08174,40.628791,,
43021024,-74.082494,40.620167,,
43021297,-74.077565,40.633315,,crossing
43021492,-74.080756,40.619734,,
43021817,-74.083512,40.624973,,
43021828,-74.084724,40.615838,,
43026626,-74.0780684,40.626477,,
43026630,-74.0797774,40.6249,,
2543940053,-74.0847888,40.6150981,,
2577195976,-74.0814651,40.6258035,,
2798962443,-74.0802292,40.6244104,,
4205810899,-74.0809737,40.6273417,,
4209726516,-74.0831525,40.6272739,,
4526249140,-74.0796292,40.6247006,,crossing
4697557402,-74.0777946,40.6303207,,crossing
4706490000,-74.0792988,40.626234,,
4706491410,-74.0781584,40.6266188,,
