u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
261770030,261770032,0,False,tertiary,Western Highway,268.838,,,,,,,,,,,24168289,CR 15
261770030,261786003,0,False,residential,Lowe Lane,100.834,,,,,,,,,,,24172735,
261770032,261770033,0,False,tertiary,Western Highway,88.575,,,,,,,,,,,24168289,CR 15
261770032,261770030,0,False,tertiary,Western Highway,268.838,,,,,,,,,,,24168289,CR 15
261770032,261813263,0,False,residential,Kevin Drive,201.923,,,,,,,,,,,24176895,
261770033,261770035,0,False,tertiary,Western Highway,154.051,,,,,,,,,,,24168289,CR 15
261770033,261813263,0,False,residential,Cedar Avenue,129.618,,,,,,,,,,,24176385,
261770033,261770032,0,False,tertiary,Western Highway,88.575,,,,,,,,,,,24168289,CR 15
261770035,666703138,0,False,tertiary,Western Highway,191.869,,,,,,,,,,,24168289,CR 15
261770035,261770033,0,False,tertiary,Western Highway,154.051,,,,,,,,,,,24168289,CR 15
261770035,261779149,0,False,residential,Maple Street,226.77,,,,,,,,,,,24172095,
261770037,2412648335,0,False,secondary,Orangeburg Road,185.801,,,,,,,,,,,52435169,CR 20
261770037,261770039,0,False,tertiary,Western Highway,509.749,,,,,,,,,,,24168289,CR 15
261770037,666703140,0,False,tertiary,Western Highway,293.023,,,,,,,,,,,24168289,CR 15
261770037,261784730,0,False,secondary,Orangeburg Road,390.785,,,,,,,yes,,,,"[52435168, 52435169, 24174575]",CR 20
261770039,261770040,0,False,tertiary,Western Highway,69.951,,,,,,,,,,,24168289,CR 15
261770039,261770037,0,False,tertiary,Western Highway,509.749,,,,,,,,,,,24168289,CR 15
261770039,373644635,0,False,residential,Bataan Road,117.579,,,,,,,,,,,24173582,
261770039,261800810,0,False,residential,Bataan Road,126.528,,,,,,,,,,,24173582,
261770040,261770039,0,False,tertiary,Western Highway,69.951,,,,,,,,,,,24168289,CR 15
261770040,261800810,0,False,residential,,87.265,,,,,,,,,,,31751536,
261770264,261770265,0,False,residential,Hook Street,176.227,,,,,,,,,,,24168327,
261770264,261792569,0,False,residential,Lester Drive,73.518,,,,,,,,,,,24175212,
261770264,261782820,0,False,residential,Lester Drive,88.784,,,,,,,,,,,24175212,
261770265,261770264,0,False,residential,Hook Street,176.227,,,,,,,,,,,24168327,
261770265,261792567,0,False,residential,Henry Street,172.921,,,,,,,,,,,24171936,
261770265,369547324,0,False,residential,Henry Street,24.869,,,,,,,,,,,24171936,
261770383,261772926,0,True,secondary,Orangeburg Road,171.324,,,,,,,,,,,31746076,CR 20
261770383,355257884,0,True,motorway_link,,454.156,,,,,,,,,,,31745995,
261770539,261805443,0,True,secondary,Orangeburg Road,60.481,,,,,,,,,,,50648769,CR 20
261772926,644869197,0,True,secondary,Orangeburg Road,66.98,2,,,,,,yes,,,,50648792,CR 20
261772985,369534583,0,False,residential,Lester Drive,43.478,,,,,,,,,,,24175212,
261772985,261781444,0,False,residential,Lester Drive,225.177,,,,,,,,,,,24175212,
261773884,355333629,0,False,primary,,7.95,4,,,,,,,,,,50648746,NY 303
261773884,261779493,0,False,residential,Kings Highway,270.037,,,,,,,,,,,24169732,
261773884,261784730,0,False,primary,,74.783,4,,,,,,,,,,50648746,NY 303
261773886,4604266675,0,False,residential,Bell Lane,484.366,,,,,,,,,,,24170616,
261773886,355333403,0,False,residential,Greenbush Road,153.433,,,,,,,,,,,31751395,
261773894,261781857,0,False,residential,"['Greenbush Road', 'Orangeburg Road']",318.004,,,,,,,,,,,"[24168937, 24174580]",
261773894,355307920,0,False,residential,Greenbush Road,303.941,,,,,,,,,,,24168937,
261773894,666703140,0,False,residential,Highview Avenue,188.238,,,,,,,,,,,31825123,
261774375,261790862,0,False,residential,Horn Street,152.423,,,,,,,,,,,24171572,
261774375,261774391,0,False,residential,Howard Avenue,272.509,,,,,,,,,,,24169029,
