u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
261773109,261773111,0,False,residential,Redstone Road,42.551,,,,,,,,,,,24168804,
261773109,261809359,0,False,residential,Mariner Way,272.092,,,,,,,,,,,24175404,
261773111,261773109,0,False,residential,Redstone Road,42.551,,,,,,,,,,,24168804,
261773130,361244749,0,False,tertiary,College Road,105.33,,,,,,,,,,,39997423,CR 81
261773130,261796897,0,False,tertiary,College Road,92.515,,,,,,,,,,,39997423,CR 81
261773332,261801789,0,False,residential,Gigi Court,73.331,,,,,,,,,,,24173809,
261773332,459156724,0,False,residential,Fessler Drive,180.706,,,,,,,,,,,24168847,
261775175,459156616,0,False,residential,Pilgrim Lane,259.688,,,,,,,,,,,24169137,
261775175,261781488,0,False,residential,Orchard Hill Drive,110.776,,,,,,,,,,,24172132,
261775306,261799985,0,False,residential,Parker Boulevard,159.469,,,,,,,,,,,24173434,
261775306,261780177,0,False,residential,Parker Boulevard,132.555,,,,,,,,,,,24173434,
261776064,261796755,0,False,tertiary,College Road,15.169,,,,,,,,,,,39997423,CR 81
261776064,361244185,0,False,residential,Briarwood Lane,686.752,,,,,,,,,,,24169252,
261776064,261801341,0,False,tertiary,College Road,519.049,,,,,,,,,,,39997423,CR 81
261776408,261776409,0,False,residential,Melaney Drive,296.839,,,,,,,,,,,24169305,
261776408,261786407,0,False,residential,Parker Boulevard,158.976,,,,,,,,,,,24173434,
261776408,261792260,0,False,residential,Parker Boulevard,197.374,,,,,,,,,,,24173434,
261776409,261776408,0,False,residential,Melaney Drive,296.839,,,,,,,,,,,24169305,
261777137,3343143240,0,True,residential,Horton Drive,201.061,,,,,,,,,,,24169390,
261777137,261777139,0,False,residential,Horton Drive,123.302,,,,,,,,,,,32223186,
261777139,361332840,0,False,residential,Bates Drive,544.856,,,,,,,,,,,24176983,
261777139,261777147,0,False,residential,Horton Drive,295.162,,,,,,,,,,,32223186,
261777139,261777137,0,False,residential,Horton Drive,123.302,,,,,,,,,,,32223186,
261777147,361332521,0,False,residential,Witzel Court,161.633,,,,,,,,,,,24170374,
261777147,361332840,0,False,residential,Horton Drive,141.156,,,,,,,,,,,32223186,
261777147,261777139,0,False,residential,Horton Drive,295.162,,,,,,,,,,,32223186,
261777972,459156706,0,False,residential,Spruce Road,146.047,,,,,,,,,,,24169502,
261777972,261792776,0,False,residential,Winesap Lane,122.778,,,,,,,,,,,24171971,
261777972,459156691,0,False,residential,Winesap Lane,111.987,,,,,,,,,,,24171972,
261778301,361242276,0,False,residential,Bina Lane,70.024,,,,,,,,,,,24169562,
261778301,361242390,0,False,residential,Bina Lane,22.067,,,,,,,,,,,24169562,
261778301,361242422,0,False,residential,Hillel Court,198.727,,,,,,,,,,,24175214,
261779440,2513422778,0,False,residential,Giselle Court,94.195,,,,,,,,,,,24169720,
261779440,261789219,0,False,residential,Galbraith Road,99.167,,,,,,,,,,,24171340,
261779440,261787979,0,False,residential,Galbraith Road,156.244,,,,,,,,,,,24171340,
261780175,261780177,0,False,residential,Rosmel Drive,168.569,,,,,,,,,,,24169841,
261780175,261809332,0,False,residential,South Parker Drive,156.048,,,,,,,,,,,24176706,
261780175,261806434,0,False,residential,South Parker Drive,353.751,,,,,,,,,,,24176706,
261780177,261780175,0,False,residential,Rosmel Drive,168.569,,,,,,,,,,,24169841,
261780177,261775306,0,False,residential,Parker Boulevard,132.555,,,,,,,,,,,24173434,
261780177,261786407,0,False,residential,Parker Boulevard,73.481,,,,,,,,,,,24173434,
261780199,825405622,0,False,tertiary,Highview Road,38.536,,,,,,,,,,,24170593,CR 64
261780199,261785245,0,False,tertiary,Highview Road,231.157,,,,,,,,,,,24170593,CR 64
261780199,823248333,0,False,residential,Pine Road,363.815,,,,,,,,,,,24169852,
261781423,261781425,0,False,residential,Plum Road,224.083,,,,,,,,,,,24170022,
261781425,261781423,0,False,residential,Plum Road,224.083,,,,,,,,,,,24170022,
261781425,261781488,0,False,residential,Orchard Hill Drive,119.793,,,,,,,,,,,24172132,
261781425,261793670,0,False,residential,Orchard Hill Drive,126.697,,,,,,,,,,,24172132,
261781475,261781476,0,False,residential,Quince Lane,106.661,,,,,,,,,,,24170031,
261781475,261781479,0,False,residential,Quince Lane,341.357,,,,,,,,,,,24170033,
261781475,261783192,0,False,residential,Celia Court,224.164,,,,,,,,,,,24170298,
261781476,361244366,0,False,residential,Quince Lane,61.718,,,,,,,,,,,24170031,
261781476,261781475,0,False,residential,Quince Lane,106.661,,,,,,,,,,,24170031,
261781476,261801253,0,False,residential,Antoinette Court,135.882,,,,,,,,,,,24173677,
261781479,261781475,0,False,residential,Quince Lane,341.357,,,,,,,,,,,24170033,
261781479,261801554,0,False,tertiary,Viola Road,282.823,,,,,,,,,,,24175927,CR 74
261781479,261789219,0,False,tertiary,Viola Road,341.868,,,,,,,,,,,24175927,CR 74
