u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
213355568,213355570,0,False,residential,,123.415,,,,,,,,,,,20174747,
213355568,213595043,0,False,residential,Shade Tree Lane,149.016,,,,,,,,,,,20199764,
213355568,213620373,0,False,residential,Shade Tree Lane,195.594,,,,,,,,,,,20199764,
213355570,213355568,0,False,residential,,123.415,,,,,,,,,,,20174747,
213355619,213355623,0,False,residential,,55.605,,,,,,,,,,,20174751,
213355619,213523863,0,False,residential,Beach Road,199.348,,,,,,,,,,,20242493,
213355619,214171899,0,False,residential,Beach Road,76.1,,,,,,,,,,,20242493,
213355623,213355619,0,False,residential,,55.605,,,,,,,,,,,20174751,
213355623,213590291,0,False,residential,Meeting House Creek Road,86.473,,,,,,,,,,,20196729,
213355623,213523857,0,False,residential,Meeting House Creek Road,185.171,,,,,,,,,,,20196729,
213355642,213355644,0,False,residential,,89.973,,,,,,,,,,,20174757,
213355642,213391028,0,False,residential,White's Lane,59.538,,,,,,,,,,,20188130,
213355642,213478827,0,False,residential,White's Lane,68.532,,,,,,,,,,,20188130,
213355644,213355642,0,False,residential,,89.973,,,,,,,,,,,20174757,
213362730,213362736,0,False,residential,,103.759,,,,,,,,,,,20175463,
213362736,213362742,0,False,residential,,217.304,,,,,,,,,,,20175463,
213362736,213362730,0,False,residential,,103.759,,,,,,,,,,,20175463,
213362736,213523851,0,False,residential,Pine Avenue,73.335,,,,,,,,,,,20252558,
213362742,213362736,0,False,residential,,217.304,,,,,,,,,,,20175463,
213362780,4572440958,0,False,residential,Peconic Bay Boulevard,48.269,,,,,,,,,,,20249057,
213362780,213887709,0,False,residential,Fox Chaser Place,265.084,,,,,,,,,,,20222276,
213362780,213604708,0,False,residential,Peconic Bay Boulevard,118.459,,,,,,,,,,,20249057,
213362782,213362787,0,False,residential,,100.953,,,,,,,,,,,20175467,
213362782,213650058,0,False,residential,Leafy Way,128.84,,,,,,,,,,,20202885,
213362782,4572440958,0,False,residential,,75.076,,,,,,,,,,,20175467,
213362787,213362782,0,False,residential,,100.953,,,,,,,,,,,20175467,
213365008,213383301,0,False,residential,,159.968,,,,,,,,,,,20177733,
213369505,213910859,0,False,residential,Bay Avenue,70.962,,,,,,,,,,,20224129,
213369505,214155832,0,False,residential,"['Bay Avenue', 'Locust Street', 'Locust']",371.648,,,,,,,,,,,"[20224129, 20251250, 20243116]",
213369505,214155832,1,False,residential,Willow Street,186.454,,,,,,,,,,,20241104,
213379570,214048638,0,False,primary,Main Road,1026.919,,,,,,,,,,,163118870,NY 25
213379570,213451570,0,False,primary,Main Road,828.085,,,,,,,,,,,163118870,NY 25
213383301,214273784,0,False,residential,Peconic Bay Boulevard,62.692,,,,,,,,,,,200742238,
213383301,213365008,0,False,residential,,159.968,,,,,,,,,,,20177733,
213383301,213616870,0,False,residential,Peconic Bay Boulevard,135.767,,,,,,,,,,,200742238,
213391028,213391039,0,False,residential,,79.121,,,,,,,,,,,20178654,
213391028,213355642,0,False,residential,White's Lane,59.538,,,,,,,,,,,20188130,
213391028,213478853,0,False,residential,White's Lane,130.88,,,,,,,,,,,20188130,
213391039,213391028,0,False,residential,,79.121,,,,,,,,,,,20178654,
213400276,213430052,0,False,residential,Road C,34.213,,,,,,,,,,,20252007,
213400276,214237114,0,False,residential,Road C,103.458,,,,,,,,,,,20252014,
213400276,213400281,0,False,residential,,22.341,,,,,,,,,,,20179789,
213400281,213400283,0,False,residential,,15.567,,,,,,,,,,,20179789,
213400281,213400276,0,False,residential,,22.341,,,,,,,,,,,20179789,
213400281,213405839,0,False,residential,,96.803,,,,,,,,,,,20180497,
213400283,213400281,0,False,residential,,15.567,,,,,,,,,,,20179789,
213405839,213400281,0,False,residential,,96.803,,,,,,,,,,,20180497,
213414295,213414305,0,False,residential,,127.293,,,,,,,,,,,20181723,
213414295,213414396,0,False,residential,,244.242,,,,,,,,,,,20181733,
213414295,213414347,0,False,residential,,528.216,,,,,,,,,,,20181733,
213414305,213414295,0,False,residential,,127.293,,,,,,,,,,,20181723,
213414347,213414295,0,False,residential,,528.216,,,,,,,,,,,20181733,
213414396,213422662,0,False,residential,,150.079,,,,,,,,,,,20182919,
213414396,213414402,0,False,residential,,125.333,,,,,,,,,,,20181733,
213414396,213414295,0,False,residential,,244.242,,,,,,,,,,,20181733,
213414402,213414396,0,False,residential,,125.333,,,,,,,,,,,20181733,
213414402,213590276,0,False,tertiary,Hubbard Avenue,284.191,,,,,,,,,,,163118862,
213414402,214193742,0,False,tertiary,Hubbard Avenue,334.992,,,,,,,,,,,163118862,
213422662,213414396,0,False,residential,,150.079,,,,,,,,,,,20182919,
213430052,214323533,0,False,residential,Road C,40.251,,,,,,,,,,,20252007,
213430052,213400276,0,False,residential,Road C,34.213,,,,,,,,,,,20252007,
213430052,213430062,0,False,residential,,37.656,,,,,,,,,,,20184140,
213430062,213430052,0,False,residential,,37.656,,,,,,,,,,,20184140,
213451570,213451650,0,False,residential,Colonial Drive,547.486,,,,,,,,,,,20186270,
213451570,213379570,0,False,primary,Main Road,828.085,,,,,,,,,,,163118870,NY 25
213451570,213693381,0,False,primary,Main Road,853.991,,,,,,,,,,,163118870,NY 25
213451650,213451663,0,False,residential,Colonial Drive,103.96,,,,,,,,,,,20186270,
213451650,213451570,0,False,residential,Colonial Drive,547.486,,,,,,,,,,,20186270,
213451650,214210162,0,False,residential,Heritage Lane,150.087,,,,,,,,,,,20245269,
213451650,214210131,0,False,residential,Heritage Lane,80.217,,,,,,,,,,,20245269,
213451663,213451650,0,False,residential,Colonial Drive,103.96,,,,,,,,,,,20186270,
213467041,213467043,0,False,residential,Sunrise Avenue,36.743,,,,,,,,,,,20187299,
213467043,213467045,0,False,residential,Sunrise Avenue,50.431,,,,,,,,,,,20187299,
213467043,213467041,0,False,residential,Sunrise Avenue,36.743,,,,,,,,,,,20187299,
213467043,444153723,0,False,residential,Morningside Avenue,244.557,,,,,,,,,,,20227089,
213467043,213958750,0,False,residential,Morningside Avenue,112.931,,,,,,,,,,,20227089,
213467045,213467043,0,False,residential,Sunrise Avenue,50.431,,,,,,,,,,,20187299,
213467089,213958750,0,False,residential,Peconic Bay Boulevard,156.977,,,,,,,,,,,20249077,
213467089,213467107,0,False,residential,Sunrise Avenue,323.718,,,,,,,,,,,"[20187305, 20187302]",
213467089,213937768,0,False,residential,Peconic Bay Boulevard,110.135,,,,,,,,,,,20249077,
213467107,213467089,0,False,residential,Sunrise Avenue,323.718,,,,,,,,,,,"[20187305, 20187302]",
213470457,213470461,0,False,residential,Shady Lane,140.421,,,,,,,,,,,20187576,
213470457,213590294,0,False,residential,Meeting House Creek Road,186.265,,,,,,,,,,,20196729,
213470457,213590291,0,False,residential,Meeting House Creek Road,124.64,,,,,,,,,,,20196729,
213470461,213470457,0,False,residential,Shady Lane,140.421,,,,,,,,,,,20187576,
213478827,213355642,0,False,residential,White's Lane,68.532,,,,,,,,,,,20188130,
213478827,213668781,0,False,residential,Peconic Bay Boulevard,712.486,,,,,,,yes,,,,"[20249057, 20178658, 20249062]",
213478827,214273687,0,False,residential,Peconic Bay Boulevard,145.536,,,,,,,,,,,20249062,
213478853,213391028,0,False,residential,White's Lane,130.88,,,,,,,,,,,20188130,
213497494,214126682,0,False,residential,Washington Avenue,133.941,,,,,,,,,,,20238969,
213497494,214126679,0,False,residential,Washington Avenue,76.311,,,,,,,,,,,20238969,
213523851,213523857,0,False,residential,Harbor Road,113.482,,,,,,,,,,,20191249,
213523851,213362736,0,False,residential,Pine Avenue,73.335,,,,,,,,,,,20252558,
213523851,214333125,0,False,residential,Pine Avenue,232.41,,,,,,,,,,,20252558,
213523857,213590285,0,False,residential,Meeting House Creek Road,66.823,,,,,,,,,,,20196729,
213523857,213523863,0,False,residential,Harbor Road,56.183,,,,,,,,,,,20191249,
213523857,213523851,0,False,residential,Harbor Road,113.482,,,,,,,,,,,20191249,
213523857,213355623,0,False,residential,Meeting House Creek Road,185.171,,,,,,,,,,,20196729,
213523863,214171904,0,False,residential,Beach Road,28.602,,,,,,,,,,,20242493,
213523863,213355619,0,False,residential,Beach Road,199.348,,,,,,,,,,,20242493,
213523863,213523868,0,False,residential,Harbor Road,67.303,,,,,,,,,,,20191249,
213523863,213523857,0,False,residential,Harbor Road,56.183,,,,,,,,,,,20191249,
213523868,213523863,0,False,residential,Harbor Road,67.303,,,,,,,,,,,20191249,
213551435,214273467,0,False,residential,Wilowski Way,162.465,,,,,,,,,,,461783966,
213574292,213574316,0,False,residential,Lagoon Court West,109.957,,,,,,,,,,,20195045,
213574292,213574335,0,False,residential,Lagoon Court West,110.308,,,,,,,,,,,20195048,
213574316,213574292,0,False,residential,Lagoon Court West,109.957,,,,,,,,,,,20195045,
213574335,213574292,0,False,residential,Lagoon Court West,110.308,,,,,,,,,,,20195048,
213584905,213875850,0,False,residential,Washington Avenue,32.8,,,,,,,,,,,20238969,
213584905,214048638,0,False,residential,Washington Avenue,506.086,,,,,,,,,,,20238969,
213590268,213590297,0,False,residential,Meeting House Creek Road,472.221,,,,,,,,,,,"[20196729, 20196726]",
213590268,213590276,0,False,residential,Meeting House Creek Road,56.706,,,,,,,,,,,20196728,
213590268,214225909,0,False,residential,Overlook Drive,1000.745,,,,,,,,,,,20246198,
213590276,213590268,0,False,residential,Meeting House Creek Road,56.706,,,,,,,,,,,20196728,
213590276,214048405,0,False,tertiary,Edgar Avenue,862.659,,,,,,,,,,,20255467,
213590276,213414402,0,False,tertiary,Hubbard Avenue,284.191,,,,,,,,,,,163118862,
213590285,213523857,0,False,residential,Meeting House Creek Road,66.823,,,,,,,,,,,20196729,
213590291,213470457,0,False,residential,Meeting House Creek Road,124.64,,,,,,,,,,,20196729,
213590291,213355623,0,False,residential,Meeting House Creek Road,86.473,,,,,,,,,,,20196729,
213590291,214333125,0,False,residential,Cedar Street,107.002,,,,,,,,,,,20257070,
213590291,214171899,0,False,residential,Cedar Street,53.893,,,,,,,,,,,20257070,
213590294,213590297,0,False,residential,Meeting House Creek Road,179.692,,,,,,,,,,,20196729,
213590294,213470457,0,False,residential,Meeting House Creek Road,186.265,,,,,,,,,,,20196729,
213590294,214273687,0,False,residential,Peconic Bay Boulevard,213.969,,,,,,,,,,,20249062,
213590297,213590294,0,False,residential,Meeting House Creek Road,179.692,,,,,,,,,,,20196729,
213590297,214334362,0,False,residential,Hubbard Trail,116.726,,,,,,,,,,,20252617,
213590297,213590268,0,False,residential,Meeting House Creek Road,472.221,,,,,,,,,,,"[20196729, 20196726]",
213595043,213595132,0,False,residential,Josica Lane,456.649,,,,,,,,,,,20197204,
213595043,213595132,1,False,residential,Shade Tree Lane,199.236,,,,,,,,,,,20199764,
213595043,213355568,0,False,residential,Shade Tree Lane,149.016,,,,,,,,,,,20199764,
213595132,213595043,0,False,residential,Josica Lane,456.649,,,,,,,,,,,20197204,
213595132,213595043,1,False,residential,Shade Tree Lane,199.236,,,,,,,,,,,20199764,
213595132,213620393,0,False,residential,Shade Tree Lane,160.082,,,,,,,,,,,20199764,
213598257,213598265,0,False,residential,Trout Brook Lane,238.489,,,,,,,,,,,20197471,
213598265,213598325,0,False,residential,Trout Brook Lane,690.707,,,,,,,,,,,20197471,
213598265,213598257,0,False,residential,Trout Brook Lane,238.489,,,,,,,,,,,20197471,
213598265,213633619,0,False,residential,Roberts Street,136.824,,,,,,,,,,,20240476,
213598325,213598265,0,False,residential,Trout Brook Lane,690.707,,,,,,,,,,,20197471,
213598325,213620422,0,False,residential,Shade Tree Lane,127.74,,,,,,,,,,,20199764,
213598325,213620405,0,False,residential,Shade Tree Lane,107.736,,,,,,,,,,,20199764,
213604708,213604782,0,False,residential,Sunup Trail,568.848,,,,,,,,,,,20198142,
213604708,213362780,0,False,residential,Peconic Bay Boulevard,118.459,,,,,,,,,,,20249057,
213604708,213910859,0,False,residential,Peconic Bay Boulevard,273.887,,,,,,,,,,,20249057,
213604782,213785829,0,False,residential,Sun Court,50.735,,,,,,,,,,,20214857,
213604782,213604802,0,False,residential,Sunup Trail,137.999,,,,,,,,,,,20198142,
213604782,213604708,0,False,residential,Sunup Trail,568.848,,,,,,,,,,,20198142,
213604802,213604782,0,False,residential,Sunup Trail,137.999,,,,,,,,,,,20198142,
213616870,214151720,0,False,residential,Peconic Bay Boulevard,90.484,,,,,,,,,,,200742238,
213616870,213383301,0,False,residential,Peconic Bay Boulevard,135.767,,,,,,,,,,,200742238,
213620373,213355568,0,False,residential,Shade Tree Lane,195.594,,,,,,,,,,,20199764,
213620373,213665765,0,False,primary,Main Road,217.667,,,,,,,,,,,583343890,NY 25
213620373,214048378,0,False,primary,Main Road,253.666,,,,,,,,,,,583343890,NY 25
213620393,214363619,0,False,residential,Victor Street,198.166,,,,,,,,,,,20256412,
213620393,213620405,0,False,residential,Shade Tree Lane,225.113,,,,,,,,,,,20199764,
213620393,213595132,0,False,residential,Shade Tree Lane,160.082,,,,,,,,,,,20199764,
213620405,214031467,0,False,residential,Cove Street,68.933,,,,,,,,,,,20231964,
213620405,213598325,0,False,residential,Shade Tree Lane,107.736,,,,,,,,,,,20199764,
213620405,213620393,0,False,residential,Shade Tree Lane,225.113,,,,,,,,,,,20199764,
213620422,214268203,0,False,tertiary,Hubbard Avenue,233.82,,,,,,,,,,,163118862,
213620422,213598325,0,False,residential,Shade Tree Lane,127.74,,,,,,,,,,,20199764,
213623160,213623163,0,False,residential,Caroline Court,160.934,,,,,,,,,,,20200080,
213623160,1401554617,0,False,residential,West Lane,103.523,,,,,,,,,,,20246822,
213623160,214237114,0,False,residential,West Lane,189.564,,,,,,,,,,,20246822,
213623163,213623160,0,False,residential,Caroline Court,160.934,,,,,,,,,,,20200080,
213623163,213623163,0,False,residential,,83.755,,,,,,,,,,,126436542,
213623163,213623163,1,False,residential,,83.755,,,,,,,,,,,126436542,
213633615,213633619,0,False,residential,Broad Avenue,462.751,,,,,,,,,,,20201215,
213633615,214048378,0,False,primary,Main Road,92.162,,,,,,,,,,,583343890,NY 25
213633615,213973792,0,False,primary,Main Road,174.285,,,,,,,,,,,583343890,NY 25
213633619,213633615,0,False,residential,Broad Avenue,462.751,,,,,,,,,,,20201215,
213633619,214031467,0,False,residential,"['Cove Street', 'Broad Avenue']",454.705,,,,,,,,,,,"[20231964, 20201215]",
213633619,214147506,0,False,residential,Roberts Street,92.77,,,,,,,,,,,20240476,
213633619,213598265,0,False,residential,Roberts Street,136.824,,,,,,,,,,,20240476,
213638477,1401555965,0,False,residential,Seril Drive,59.967,,,,,,,,,,,20201751,
213638477,213696643,0,False,residential,Crystal Drive,89.378,,,,,,,,,,,20208276,
213638477,213693399,0,False,residential,Crystal Drive,534.529,,,,,,,,,,,20208276,
213650058,213362782,0,False,residential,Leafy Way,128.84,,,,,,,,,,,20202885,
213650058,213650072,0,False,residential,Leafy Way,76.532,,,,,,,,,,,20202885,
213650058,213668819,0,False,residential,Bay Harbor Road West,249.812,,,,,,,,,,,20204916,
213650058,213668787,0,False,residential,Bay Harbor Road West,145.055,,,,,,,,,,,20204916,
213650072,213897100,0,False,residential,Primrose Lane,135.847,,,,,,,,,,,20222956,
213650072,213650115,0,False,residential,Leafy Way,200.4,,,,,,,,,,,20202885,
213650072,213650058,0,False,residential,Leafy Way,76.532,,,,,,,,,,,20202885,
213650115,213650123,0,False,residential,Leafy Way,66.127,,,,,,,,,,,20202885,
213650115,213650072,0,False,residential,Leafy Way,200.4,,,,,,,,,,,20202885,
213650115,213897100,0,False,residential,Lovers Lane,100.933,,,,,,,,,,,20236243,
213650123,213650115,0,False,residential,Leafy Way,66.127,,,,,,,,,,,20202885,
213665765,213665771,0,False,residential,Union Avenue,241.912,,,,,,,,,,,20204577,
213665765,214048405,0,False,primary,Main Road,632.438,,,,,,,,,,,583343890,NY 25
213665765,213620373,0,False,primary,Main Road,217.667,,,,,,,,,,,583343890,NY 25
213665771,3371875545,0,False,residential,Union Avenue,185.205,,,,,,,,,,,20204577,
213665771,3371875545,1,False,residential,Grant Drive,1114.359,,,,,,,,,,,20214219,
213665771,213665765,0,False,residential,Union Avenue,241.912,,,,,,,,,,,20204577,
213665778,3371875545,0,False,residential,Union Avenue,257.047,,,,,,,,,,,20204577,
213668781,213668787,0,False,residential,Bay Harbor Road West,60.393,,,,,,,,,,,20204916,
213668781,213478827,0,False,residential,Peconic Bay Boulevard,712.486,,,,,,,yes,,,,"[20249057, 20178658, 20249062]",
213668781,4572440958,0,False,residential,Peconic Bay Boulevard,221.263,,,,,,,,,,,20249057,
213668787,213650058,0,False,residential,Bay Harbor Road West,145.055,,,,,,,,,,,20204916,
213668787,213668781,0,False,residential,Bay Harbor Road West,60.393,,,,,,,,,,,20204916,
213668787,213897100,0,False,residential,Lovers Lane,77.244,,,,,,,,,,,20236243,
213668819,213650058,0,False,residential,Bay Harbor Road West,249.812,,,,,,,,,,,20204916,
213693381,213693399,0,False,tertiary,Church Lane,297.031,,,,,,,,,,,20207894,CR 23
213693381,213451570,0,False,primary,Main Road,853.991,,,,,,,,,,,163118870,NY 25
213693381,214048441,0,False,primary,Main Road,109.449,,,,,,,,,,,163118870,NY 25
213693399,213693381,0,False,tertiary,Church Lane,297.031,,,,,,,,,,,20207894,CR 23
213693399,213638477,0,False,residential,Crystal Drive,534.529,,,,,,,,,,,20208276,
213696643,214104027,0,False,residential,Ruby Drive,60.888,,,,,,,,,,,20237431,
213696643,213696668,0,False,residential,Crystal Drive,163.526,,,,,,,,,,,20208276,
213696643,213638477,0,False,residential,Crystal Drive,89.378,,,,,,,,,,,20208276,
213696668,213696643,0,False,residential,Crystal Drive,163.526,,,,,,,,,,,20208276,
213708792,213708793,0,False,residential,Apollo Drive,43.893,,,,,,,,,,,20209489,
213708793,213708792,0,False,residential,Apollo Drive,43.893,,,,,,,,,,,20209489,
213712053,213712055,0,False,residential,Hobson Drive,243.236,,,,,,,,,,,20209764,
213712053,214193742,0,False,tertiary,Hubbard Avenue,126.706,,,,,,,,,,,163118862,
213712053,214268203,0,False,tertiary,Hubbard Avenue,81.208,,,,,,,,,,,163118862,
213712055,213712053,0,False,residential,Hobson Drive,243.236,,,,,,,,,,,20209764,
213785829,213604782,0,False,residential,Sun Court,50.735,,,,,,,,,,,20214857,
213816014,1401555591,0,False,residential,Hilton Court,103.389,,,,,,,,,,,20216929,
213816014,214115572,0,False,residential,West Lane,44.097,,,,,,,,,,,20246822,
213816014,1401554617,0,False,residential,West Lane,120.868,,,,,,,,,,,20246822,
213875850,214126679,0,False,residential,Washington Avenue,241.753,,,,,,,,,,,20238969,
213875850,213584905,0,False,residential,Washington Avenue,32.8,,,,,,,,,,,20238969,
213887709,213362780,0,False,residential,Fox Chaser Place,265.084,,,,,,,,,,,20222276,
213897100,213650072,0,False,residential,Primrose Lane,135.847,,,,,,,,,,,20222956,
213897100,213650115,0,False,residential,Lovers Lane,100.933,,,,,,,,,,,20236243,
213897100,213668787,0,False,residential,Lovers Lane,77.244,,,,,,,,,,,20236243,
213910859,213369505,0,False,residential,Bay Avenue,70.962,,,,,,,,,,,20224129,
213910859,213604708,0,False,residential,Peconic Bay Boulevard,273.887,,,,,,,,,,,20249057,
213910859,214273474,0,False,residential,Peconic Bay Boulevard,172.424,,,,,,,,,,,20249057,
213912059,4583868073,0,False,residential,Southfields Road,20.346,,,,,,,,,,,20224195,
213912093,214115582,0,False,residential,Westwood Boulevard,124.291,,,,,,,,,,,20238197,
213912093,213912138,0,False,residential,Southfields Road,208.155,,,,,,,,,,,20224195,
213912093,4583868073,0,False,residential,Southfields Road,266.012,,,,,,,,,,,20224195,
213912138,213912093,0,False,residential,Southfields Road,208.155,,,,,,,,,,,20224195,
213937768,213937797,0,False,residential,Audra Lane,177.695,,,,,,,,,,,20225678,
213937768,213467089,0,False,residential,Peconic Bay Boulevard,110.135,,,,,,,,,,,20249077,
213937768,214273460,0,False,residential,Peconic Bay Boulevard,230.348,,,,,,,,,,,20249077,
213937797,213937768,0,False,residential,Audra Lane,177.695,,,,,,,,,,,20225678,
213958750,213467089,0,False,residential,Peconic Bay Boulevard,156.977,,,,,,,,,,,20249077,
213958750,213467043,0,False,residential,Morningside Avenue,112.931,,,,,,,,,,,20227089,
213958772,213958778,0,False,residential,Morningside Avenue,33.529,,,,,,,,,,,20227089,
213958772,444153723,0,False,residential,Morningside Avenue,7.761,,,,,,,,,,,20227089,
213958772,214375494,0,False,residential,Brown Street,51.112,,,,,,,,,,,20255158,
213958778,213958772,0,False,residential,Morningside Avenue,33.529,,,,,,,,,,,20227089,
213973792,213633615,0,False,primary,Main Road,174.285,,,,,,,,,,,583343890,NY 25
214031467,213620405,0,False,residential,Cove Street,68.933,,,,,,,,,,,20231964,
214031467,214363619,0,False,residential,Linda Avenue,120.987,,,,,,,,,,,20254370,
214031467,213633619,0,False,residential,"['Cove Street', 'Broad Avenue']",454.705,,,,,,,,,,,"[20231964, 20201215]",
214040872,1401554619,0,False,residential,Witt's Lane,125.063,,,,,,,,,,,20232676,
214040872,1401554614,0,False,residential,Witt's Lane,140.791,,,,,,,,,,,20232677,
214040872,1401554614,1,False,residential,Witt's Lane,113.284,,,,,,,,,,,20232677,
214048378,214147506,0,False,residential,Linda Avenue,460.513,,,,,,,,,,,20254370,
214048378,213620373,0,False,primary,Main Road,253.666,,,,,,,,,,,583343890,NY 25
214048378,213633615,0,False,primary,Main Road,92.162,,,,,,,,,,,583343890,NY 25
214048405,213590276,0,False,tertiary,Edgar Avenue,862.659,,,,,,,,,,,20255467,
214048405,214048428,0,False,primary,Main Road,388.825,,,,,,,,,,,163118870,NY 25
214048405,213665765,0,False,primary,Main Road,632.438,,,,,,,,,,,583343890,NY 25
214048428,214324385,0,False,residential,Road D,153.474,,,,,,,,,,,20252073,
214048428,214048441,0,False,primary,Main Road,174.542,,,,,,,,,,,163118870,NY 25
214048428,214048405,0,False,primary,Main Road,388.825,,,,,,,,,,,163118870,NY 25
214048441,214237114,0,False,residential,West Lane,116.707,,,,,,,,,,,20246822,
214048441,213693381,0,False,primary,Main Road,109.449,,,,,,,,,,,163118870,NY 25
214048441,214048428,0,False,primary,Main Road,174.542,,,,,,,,,,,163118870,NY 25
214048638,213584905,0,False,residential,Washington Avenue,506.086,,,,,,,,,,,20238969,
214048638,213379570,0,False,primary,Main Road,1026.919,,,,,,,,,,,163118870,NY 25
214104027,213696643,0,False,residential,Ruby Drive,60.888,,,,,,,,,,,20237431,
214115572,213816014,0,False,residential,West Lane,44.097,,,,,,,,,,,20246822,
