osmid,x,y,ref,highway
213355568,-72.635101,40.940445,,
213355570,-72.633877,40.941059,,
213355619,-72.615116,40.931962,,
213355623,-72.61447,40.932071,,
213355642,-72.6119582,40.9363487,,
213355644,-72.611057,40.936786,,
213362730,-72.613009,40.930185,,
213362736,-72.612056,40.930737,,
213362742,-72.61199,40.932552,,
213362780,-72.603997,40.935696,,
213362782,-72.604275,40.934908,,
213362787,-72.60378,40.9340807,,
213365008,-72.586775,40.9383415,,
213369505,-72.599399,40.93527,,
213379570,-72.600503,40.948263,,
213383301,-72.5852742,40.9383157,,
213391028,-72.6114737,40.9359579,,
213391039,-72.6105612,40.9361343,,
213400276,-72.622867,40.947026,,
213400281,-72.623088,40.946915,,
213400283,-72.623259,40.946861,,
213405839,-72.622592,40.946132,,
213414295,-72.621523,40.934022,,
213414305,-72.623012,40.933811,,
213414347,-72.624018,40.930691,,
213414396,-72.6227746,40.9359365,,
213414402,-72.6236288,40.9368604,,
213422662,-72.62437,40.935329,,
213430052,-72.62266,40.946761,,
213430062,-72.622529,40.946953,,
213443303,-72.6156,40.958378,,turning_circle
213451570,-72.609989,40.947324,,
213451650,-72.60821,40.942693,,
213451663,-72.608141,40.941765,,
213467041,-72.5909912,40.9337863,,
213467043,-72.590634,40.933977,,
213467045,-72.5901561,40.9342515,,
213467089,-72.592696,40.933997,,
213467107,-72.591248,40.9316374,,
213470457,-72.61546,40.933816,,
213470461,-72.614125,40.934576,,
213478827,-72.612514,40.936797,,
213478853,-72.6106263,40.9349703,,
213497494,-72.582711,40.941245,,
213523851,-72.612618,40.931238,,
213523857,-72.613603,40.93054,,
213523863,-72.614188,40.930312,,
213523868,-72.6149348,40.9300981,,
213551435,-72.5962018,40.9339489,,
213574292,-72.590789,40.93605,,
213574316,-72.590366,40.936944,,turning_circle
213574335,-72.5920303,40.9362787,,turning_circle
213584905,-72.5850262,40.9438714,,
213590268,-72.6202596,40.9383652,,
213590276,-72.6209235,40.9383937,,
213590285,-72.613311,40.929981,,
213590291,-72.614884,40.932783,,
213590294,-72.61632,40.93536,,
213590297,-72.6170612,40.9368759,,
213595043,-72.634075,40.939352,,
213595132,-72.632697,40.937894,,
213598257,-72.6396011,40.9382314,,turning_circle
213598265,-72.638084,40.93643,,
213598325,-72.631966,40.933674,,
213604708,-72.602628,40.935852,,
213604782,-72.604569,40.940455,,
213604802,-72.606082,40.939999,,turning_circle
213616870,-72.583956,40.939022,,
213620373,-72.636444,40.941882,,
213620393,-72.631918,40.936622,,
213620405,-72.632098,40.934607,,
213620422,-72.6310903,40.932735,,
213623160,-72.6230654,40.9488572,,
213623163,-72.6215217,40.9497147,,
213633615,-72.640096,40.940459,,
213633619,-72.636762,40.937146,,
213638477,-72.616428,40.950171,,
213650058,-72.605531,40.934243,,
213650072,-72.606271,40.933842,,
213650115,-72.608118,40.934264,,
213650123,-72.60862,40.934709,,
213665765,-72.634043,40.942618,,
213665771,-72.635745,40.944373,,
213665778,-72.638921,40.947544,,
213668781,-72.606942,40.935752,,
213668787,-72.606528,40.935308,,
213668819,-72.606112,40.932594,,
