osmid,x,y,ref,highway
212600981,-77.605135,43.1510999,,
212601500,-77.598313,43.1609805,,
212601502,-77.599363,43.160257,,
212603608,-77.6012158,43.1620754,,
212603854,-77.597265,43.155771,,
212604410,-77.6142733,43.1519375,14,motorway_junction
212604432,-77.616058,43.152839,,
212605092,-77.6182819,43.1564504,,
212608700,-77.6075016,43.153414,,
212611362,-77.6124812,43.1608474,,
212611365,-77.6118903,43.1607192,,
212611370,-77.6103197,43.1612253,,traffic_signals
212611396,-77.6081502,43.1614339,,traffic_signals
212611399,-77.6075914,43.1612951,,traffic_signals
212611429,-77.6042661,43.1616086,,
212612189,-77.6114827,43.1599331,,
212612192,-77.6109177,43.1601243,,
212618507,-77.6002958,43.1514537,,
212631625,-77.6000941,43.1564928,,traffic_signals
212631632,-77.599218,43.158326,,
212631636,-77.5989919,43.1587935,,traffic_signals
212631641,-77.59844,43.159978,,
212631643,-77.5979372,43.1608628,,
212633592,-77.6075136,43.1569101,,traffic_signals
212633594,-77.6067102,43.1549603,,traffic_signals
212649820,-77.6140426,43.1553789,,traffic_signals
212649822,-77.615057,43.156591,,stop
212649825,-77.61627,43.158002,,
212650530,-77.6135508,43.1542205,,traffic_signals
212650533,-77.6133368,43.1537167,,
212654940,-77.5984169,43.1548628,,
212659049,-77.602415,43.16117,,
212659053,-77.601981,43.161955,,
212662481,-77.617093,43.1568069,,traffic_signals
212662496,-77.615408,43.158422,,
212662499,-77.616879,43.157697,,
212662532,-77.6183071,43.156274,,
212666680,-77.602886,43.159742,,traffic_signals
212666683,-77.603994,43.159494,,
212666687,-77.604643,43.159482,,
212666692,-77.605245,43.159462,,
212666725,-77.607221,43.159162,,
212666727,-77.609645,43.158539,,
212668842,-77.6076569,43.1601892,,
212681097,-77.602933,43.161291,,traffic_signals
212681104,-77.601469,43.160886,,
212681106,-77.601071,43.160769,,
212681115,-77.597738,43.159768,,
212681118,-77.5964436,43.1593688,,traffic_signals
212681424,-77.611165,43.160538,,
212685581,-77.602628,43.161931,,
212690362,-77.603481,43.152099,,
212690367,-77.602625,43.152207,,
212696247,-77.605206,43.158496,,
212696249,-77.605907,43.158906,,
212697782,-77.6111273,43.1560394,,traffic_signals
212697784,-77.611006,43.155713,,
212697786,-77.610827,43.155278,,
212707406,-77.601331,43.15891,,
212707422,-77.601698,43.160482,,
212707472,-77.6115443,43.1555798,,
212711100,-77.6002585,43.1561381,,
212711103,-77.6004782,43.1556889,,
212712042,-77.6024025,43.1606961,,
212712176,-77.6088186,43.1566081,,traffic_signals
212712177,-77.6090831,43.1571994,,
212712178,-77.6093209,43.1577309,,traffic_signals
212712179,-77.609556,43.158311,,
212712182,-77.6100294,43.159523,,
212713217,-77.6146843,43.1578559,,
212713222,-77.6132353,43.1587485,,
212713247,-77.6111554,43.1592694,,
212713252,-77.607916,43.159986,,
212713254,-77.607587,43.160058,,
212713256,-77.606886,43.160226,,
212713260,-77.606405,43.160337,,
212713271,-77.605312,43.160484,,
212713273,-77.604938,43.160525,,
212713354,-77.6063466,43.1571691,,traffic_signals
212713357,-77.6066069,43.1577416,,
212713360,-77.6068129,43.1582738,,traffic_signals
212714271,-77.602758,43.156248,,
212714282,-77.6050959,43.154084,,traffic_signals
212714285,-77.6047812,43.1528802,,traffic_signals
212719564,-77.605815,43.153965,,traffic_signals
212719566,-77.6055017,43.1527829,,traffic_signals
212719968,-77.613867,43.157159,,traffic_signals
212719973,-77.6164421,43.1559571,,traffic_signals
212729054,-77.6075436,43.1523841,,
212729062,-77.6075976,43.1536929,,traffic_signals
212729070,-77.607998,43.1547328,,traffic_signals
212729342,-77.60711,43.1518547,,
212729346,-77.606969,43.151258,,
212731092,-77.6146484,43.1531679,,
212734823,-77.606094,43.1544525,,
212745042,-77.6028527,43.1531241,,traffic_signals
212749148,-77.6118183,43.1605781,,
212750074,-77.6014468,43.1533559,,
212751945,-77.619923,43.1555621,,
212757725,-77.603437,43.157327,,
212757729,-77.6031266,43.1578751,,traffic_signals
212757733,-77.602994,43.158174,,
212757743,-77.60248,43.158569,,
212760971,-77.599875,43.159172,,
212760973,-77.6002989,43.1590865,,
212762352,-77.6036913,43.1560665,,
212762363,-77.602931,43.155875,,traffic_signals
212763124,-77.6169389,43.1547068,,traffic_signals
212763132,-77.616667,43.154245,,
212763134,-77.616539,43.153971,,traffic_signals
212769542,-77.615933,43.154408,,
212772278,-77.5988056,43.1549157,,
212772328,-77.6031783,43.1552032,,traffic_signals
212772345,-77.6010944,43.1550016,,
212772354,-77.603101,43.155507,,
212773076,-77.619185,43.154779,,
212773077,-77.619858,43.1550089,,
212780721,-77.6047981,43.1580956,,traffic_signals
212780724,-77.6045265,43.1585858,,
212780879,-77.604951,43.161194,,
212781583,-77.6043176,43.1576151,,traffic_signals
212787052,-77.601024,43.156718,,
212787055,-77.6001516,43.1585391,,
212796045,-77.6123466,43.1552872,,
212796047,-77.6115047,43.1554881,,
212803415,-77.604673,43.159931,,
212808913,-77.601278,43.160093,,
212808916,-77.599668,43.159612,,
212810486,-77.5966285,43.1575479,,
212810488,-77.5963583,43.1584175,,
