u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
212601979,925073664,0,True,motorway_link,,516.642,,,,55 mph,,,yes,,,,"[183385306, 38655387, 86681982, 38655386]",
212601979,457764874,0,True,motorway_link,,295.713,,,,55 mph,,,yes,,,,"[38655383, 183385259, 405725223]",
212603138,212709853,0,False,tertiary,Highland Avenue,80.025,,,,,,,,,,,38655373,
212603138,212612363,0,False,tertiary,East Highland Drive,858.231,,,,,,,,,,,20136498,
212603138,212610531,0,False,tertiary,Highland Avenue,87.147,,,,30 mph,,,yes,,,,"[20117306, 38655372, 38655373]",
212603204,212603207,0,True,motorway_link,,192.149,,,,,,,,,,,405737198,
212603204,212608956,0,True,motorway,,417.832,3,,,55 mph,,,,,,,124369932,I 490
212603207,212623668,0,True,motorway_link,,51.105,,,,,,,,,,,20110295,
212608956,212608972,0,True,motorway_link,,176.142,,,,55 mph,,,,,,,20110627,
212608956,457764874,0,True,motorway,,498.165,3,,,55 mph,,,yes,,,,"[38655379, 124369932]",I 490
212608972,212609016,0,True,motorway_link,,393.439,,,,55 mph,,,yes,,,,"[20110627, 38655388, 38655389]",
212608972,212610792,0,True,motorway_link,,379.943,,,,55 mph,,,,,,,20111190,
212609204,212610792,0,True,motorway,,434.977,2,,,55 mph,,,,,,,123684774,I 590
212610511,212601979,0,True,motorway_link,,417.752,2,,,55 mph,,,yes,,,,"[20113192, 38655390]",
212610511,212609016,0,True,motorway,,684.206,2,,,55 mph,,,,,,,20137953,NY 590
212610531,212709852,0,False,tertiary,Highland Avenue,37.049,,,,30 mph,,,,,,,20117306,
212610531,212603138,0,False,tertiary,Highland Avenue,87.147,,,,30 mph,,,yes,,,,"[20117306, 38655372, 38655373]",
212612363,212603138,0,False,tertiary,East Highland Drive,858.231,,,,,,,,,,,20136498,
212612363,212619377,0,False,primary,East Avenue,238.925,,,,,,,yes,,,,"[38655384, 38655385, 139750612]",NY 96
212612621,212603204,0,True,motorway,,1074.524,3,,,55 mph,,,,,,,124369932,I 490
212616175,4663793373,0,True,motorway_link,,295.28,,,,,,,yes,,,,"[110350434, 38655371, 110350430]",
212616175,925073664,0,True,motorway,,386.262,3,,,55 mph,,,,,,,38655382,I 490
212616180,1260394588,0,True,secondary,University Avenue,110.002,,,,,,,,,,,20115519,
212616180,212681135,0,False,secondary,University Avenue,59.395,,,,,,,,,,,110350436,
212619377,212667276,0,False,residential,Rockwood Street,46.834,,,,,,,,,,,20114394,
212619377,212612363,0,False,primary,East Avenue,238.925,,,,,,,yes,,,,"[38655384, 38655385, 139750612]",NY 96
212619377,212681125,0,False,primary,East Avenue,114.22,,,,,,,,,,,139750618,NY 96
212623668,212784122,0,False,residential,Hoyt Place,91.04,,,,,,,,,,,20124693,
212623668,212623672,0,False,tertiary,South Winton Road,99.958,,,,,,,,,,,139750896,
212623672,212940245,0,False,residential,Hillside Avenue,113.204,,,,,yes,,,,,,20138325,
212623672,212623676,0,False,tertiary,South Winton Road,49.128,,,,,,,,,,,139750896,
212623672,212623668,0,False,tertiary,South Winton Road,99.958,,,,,,,,,,,139750896,
212623676,212823511,0,False,residential,Hillside Avenue,96.287,,,,,yes,,no,no,,,20138323,
212623676,212701247,0,False,residential,Hillside Avenue,75.913,,,,,yes,,no,no,,,20138323,
212623676,212623672,0,False,tertiary,South Winton Road,49.128,,,,,,,,,,,139750896,
212623676,212623679,0,False,tertiary,South Winton Road,266.162,,,,,,,,,,,139750896,
212623679,212769278,0,False,residential,Beckwith Terrace,211.311,,,,,,,,,,,20137870,
212623679,212623682,0,False,tertiary,South Winton Road,115.406,,,,,,,,,,,139750896,
212623679,212623676,0,False,tertiary,South Winton Road,266.162,,,,,,,,,,,139750896,
212623682,212623685,0,False,tertiary,South Winton Road,11.287,,,,,,,,,,,139750896,
212623682,212623679,0,False,tertiary,South Winton Road,115.406,,,,,,,,,,,139750896,
212623682,212769253,0,False,residential,Nunda Boulevard,182.207,,,,,,,,,,,20134153,
212623685,212701238,0,False,residential,Nunda Boulevard,219.005,,,,,,,,,,,20134148,
212623685,212623688,0,False,tertiary,South Winton Road,8.181,,,,,,,,,,,139750896,
212623685,212623682,0,False,tertiary,South Winton Road,11.287,,,,,,,,,,,139750896,
212623688,212769248,0,False,residential,Nunda Boulevard,188.986,,,,,,,,,,,20134151,
212623688,212623691,0,False,tertiary,South Winton Road,111.207,,,,,,,,,,,139750896,
212623688,212623685,0,False,tertiary,South Winton Road,8.181,,,,,,,,,,,139750896,
212623691,212899585,0,False,residential,Castlebar Road,415.698,,,,,,,,,,,20135252,
212623691,212769231,0,False,residential,Castlebar Road,169.197,,,,,,,,,,,20135252,
212623691,212623695,0,False,tertiary,South Winton Road,113.981,,,,,,,,,,,139750896,
212623691,212623688,0,False,tertiary,South Winton Road,111.207,,,,,,,,,,,139750896,
212623695,212629124,0,False,residential,San Gabriel Drive,455.198,,,,,,,,,,,20112032,
212623695,212629121,0,False,residential,San Gabriel Drive,121.638,,,,,,,,,,,20112032,
212623695,212623698,0,False,tertiary,South Winton Road,123.827,,,,,,,,,,,139750896,
212623695,212623691,0,False,tertiary,South Winton Road,113.981,,,,,,,,,,,139750896,
212623698,212709851,0,False,tertiary,Highland Avenue,143.332,,,,30 mph,,,,,,,20117306,
212623698,3236892829,0,False,tertiary,Highland Avenue,56.396,,,,30 mph,,,,,,,20117306,
212623698,212623695,0,False,tertiary,South Winton Road,123.827,,,,,,,,,,,139750896,
212624271,212624273,0,False,residential,Pinnard Street,99.027,,,,,,,,,,,20111723,
212624271,212870695,0,False,residential,Cobbs Hill Drive,211.691,,,,,,,,,,,20132446,
212624271,212870665,0,False,residential,Cobbs Hill Drive,148.23,,,,,,,,,,,20132446,
212624273,212624271,0,False,residential,Pinnard Street,99.027,,,,,,,,,,,20111723,
212624273,212713558,0,False,residential,Bengal Terrace,50.15,,,,,,,,,,,20117576,
212624273,212713556,0,False,residential,Bengal Terrace,157.236,,,,,,,,,,,20117576,
212629117,212629121,0,False,residential,San Gabriel Drive,303.024,,,,,,,,,,,20112032,
212629117,212709849,0,False,residential,Cobbs Hill Drive,120.377,,,,,,,,,,,20132446,
212629117,212870733,0,False,residential,Cobbs Hill Drive,158.935,,,,,,,,,,,20132446,
212629121,212623695,0,False,residential,San Gabriel Drive,121.638,,,,,,,,,,,20112032,
212629121,212629117,0,False,residential,San Gabriel Drive,303.024,,,,,,,,,,,20112032,
212629121,212769231,0,False,residential,Rosegrey Terrace,102.393,,,,,,,,,,,20123265,
212629124,212623695,0,False,residential,San Gabriel Drive,455.198,,,,,,,,,,,20112032,
212629124,212709852,0,False,residential,Hillside Avenue,112.041,,,,,yes,,,,,,20138325,
212629124,212899585,0,False,residential,Hillside Avenue,103.254,,,,,yes,,,,,,20138325,
212647913,212647918,0,False,residential,Gould Street,211.273,,,,,,,,,,,312102047,
212647918,212647922,0,False,residential,Gould Street,137.772,,,,,,,,,,,312102047,
212647918,212647913,0,False,residential,Gould Street,211.273,,,,,,,,,,,312102047,
212647922,212647918,0,False,residential,Gould Street,137.772,,,,,,,,,,,312102047,
212647922,212709853,0,False,tertiary,Highland Avenue,126.664,,,,,,,,,,,38655373,
212667276,212667280,0,False,residential,Rockwood Street,78.729,,,,,,,,,,,20114394,
212667276,212619377,0,False,residential,Rockwood Street,46.834,,,,,,,,,,,20114394,
212667276,4952103357,0,False,residential,Rockwood Place,194.116,2,,,,,,,,,,20118106,
212667276,212681135,0,False,residential,"['Rockwood Place', 'Calley Crescent']",499.686,2,,,,,,,,,,"[20118106, 20121181]",
212667280,212667276,0,False,residential,Rockwood Street,78.729,,,,,,,,,,,20114394,
212681125,4663793373,0,True,secondary,University Avenue,228.195,,,,,,,,,,,91051309,
212681125,212681261,0,False,primary,East Avenue,111.153,,,,,,,,,,,139750618,NY 96
212681125,212619377,0,False,primary,East Avenue,114.22,,,,,,,,,,,139750618,NY 96
212681135,212667276,0,False,residential,"['Rockwood Place', 'Calley Crescent']",499.686,2,,,,,,,,,,"[20118106, 20121181]",
212681135,212616180,0,False,secondary,University Avenue,59.395,,,,,,,,,,,110350436,
212681261,212681125,0,False,primary,East Avenue,111.153,,,,,,,,,,,139750618,NY 96
212681261,212859898,0,False,primary,East Avenue,56.384,,,,,,,,,,,480150281,NY 96
212701235,212701238,0,False,residential,Cathaway Park,60.748,,,,,,,,,,,20116720,
212701238,212701235,0,False,residential,Cathaway Park,60.748,,,,,,,,,,,20116720,
212701238,212887533,0,False,residential,Nunda Boulevard,154.283,,,,,,,,,,,20134148,
212701238,212623685,0,False,residential,Nunda Boulevard,219.005,,,,,,,,,,,20134148,
212701247,212623676,0,False,residential,Hillside Avenue,75.913,,,,,yes,,no,no,,,20138323,
212701247,212940245,0,False,residential,Hillside Avenue,46.082,,,,,yes,,no,no,,,20138323,
212701247,212701294,0,False,residential,Cathaway Park,249.566,,,,,,,,,,,20116723,
212701247,212828865,0,False,residential,Aberthaw Road,170.476,,,,,,,,,,,20128526,
212701294,212701298,0,False,residential,Cathaway Park,53.026,,,,,,,,,,,20116723,
212701294,212701247,0,False,residential,Cathaway Park,249.566,,,,,,,,,,,20116723,
212701294,212775338,0,False,residential,Morven Road,99.887,,,,,,,,,,,20123883,
212701298,212701294,0,False,residential,Cathaway Park,53.026,,,,,,,,,,,20116723,
212709831,212709836,0,False,tertiary,Highland Avenue,166.647,,,,30 mph,,,,,,,20117306,
212709831,651254122,0,False,unclassified,Reservoir Road,128.735,2,,,,,,,,,,20120674,
212709836,212709844,0,False,tertiary,Highland Avenue,133.756,,,,30 mph,,,,,,,20117306,
212709836,212709831,0,False,tertiary,Highland Avenue,166.647,,,,30 mph,,,,,,,20117306,
212709844,212801168,0,False,residential,Highland Hights,48.148,,,,,,,,,,,20126144,
212709844,212709846,0,False,tertiary,Highland Avenue,336.663,,,,30 mph,,,,,,,20117306,
212709844,212709836,0,False,tertiary,Highland Avenue,133.756,,,,30 mph,,,,,,,20117306,
212709846,212709849,0,False,tertiary,Highland Avenue,73.961,,,,30 mph,,,,,,,20117306,
212709846,212709844,0,False,tertiary,Highland Avenue,336.663,,,,30 mph,,,,,,,20117306,
212709849,3236892829,0,False,tertiary,Highland Avenue,333.691,,,,30 mph,,,,,,,20117306,
212709849,212709846,0,False,tertiary,Highland Avenue,73.961,,,,30 mph,,,,,,,20117306,
212709849,212629117,0,False,residential,Cobbs Hill Drive,120.377,,,,,,,,,,,20132446,
