osmid,x,y,ref,highway
212601979,-77.5511154,43.1425483,,
212603138,-77.5523773,43.1370519,,traffic_signals
212603204,-77.5588718,43.1447341,20,motorway_junction
212603207,-77.5565647,43.1443436,,
212603580,-77.571137,43.143672,19,motorway_junction
212608956,-77.5537376,43.1444948,21,motorway_junction
212608972,-77.5520528,43.1435447,,
212609016,-77.5478516,43.1430532,,
212609204,-77.5494216,43.1429558,,
212610511,-77.5527398,43.1390008,5,motorway_junction
212610531,-77.55345,43.137015,,
212610792,-77.5528347,43.140267,,
212612363,-77.5477825,43.1426028,,traffic_signals
212612621,-77.571941,43.143326,,
212616175,-77.5505817,43.14399,20,motorway_junction
212616180,-77.553571,43.145872,,
212619377,-77.5497192,43.1441904,,traffic_signals
212623668,-77.5559371,43.1443299,,traffic_signals
212623672,-77.556369,43.143488,,
212623676,-77.556598,43.143079,,
212623679,-77.557811,43.140855,,
212623682,-77.558338,43.139891,,
212623685,-77.558387,43.139796,,
212623688,-77.558422,43.139727,,
212623691,-77.558933,43.138799,,
212623695,-77.559464,43.13785,,
212623698,-77.560006,43.136809,,traffic_signals
212624271,-77.561001,43.142026,,
212624273,-77.562221,43.142,,
212629117,-77.564693,43.137689,,
212629121,-77.560962,43.137808,,
212629124,-77.553858,43.138005,,
212647913,-77.5498141,43.140277,,turning_circle
212647918,-77.549827,43.138377,,
212647922,-77.549833,43.137138,,
212667276,-77.5493818,43.1445301,,
212667280,-77.54871,43.145041,,
212681125,-77.5510601,43.1444997,,
212681135,-77.5541804,43.1461662,,
212681261,-77.5523828,43.1447602,,traffic_signals
212701235,-77.555335,43.140198,,
212701238,-77.55569,43.139717,,
212701247,-77.555667,43.143011,,
212701294,-77.554851,43.141119,,
212701298,-77.555103,43.140679,,
212709831,-77.5735571,43.1363782,,
212709836,-77.5715066,43.1363901,,
212709844,-77.569859,43.136427,,
212709846,-77.565714,43.136561,,
212709849,-77.564807,43.136627,,
212709851,-77.558241,43.136861,,
212709852,-77.553906,43.136998,,
212709853,-77.551393,43.1370971,,
212713556,-77.5616356,43.143348,,
212713558,-77.56242,43.141573,,
212748108,-77.5707255,43.1399117,,
212748112,-77.5712455,43.1399922,,
212748153,-77.5722608,43.1371419,,
212748294,-77.5711539,43.1397639,,
212769231,-77.561016,43.138728,,
212769248,-77.560748,43.139638,,
212769253,-77.560581,43.139812,,
212769278,-77.560412,43.140758,,
212775338,-77.553691,43.140909,,
212784122,-77.554815,43.144335,,
212801168,-77.569802,43.136858,,
212801171,-77.570085,43.136997,,
212801193,-77.569427,43.137128,,
212823509,-77.5571927,43.1443223,,
212823511,-77.557781,43.143148,,
212828865,-77.556066,43.141513,,
212854862,-77.558312,43.14446,,
212854869,-77.558941,43.143209,,
212854871,-77.5591669,43.1427843,,
212859898,-77.553052,43.144897,,
212870665,-77.5604364,43.1432938,,
212870695,-77.562679,43.140672,,
212870714,-77.56294,43.139731,,
212870718,-77.562957,43.139643,,
212870721,-77.562975,43.139557,,
212870733,-77.563309,43.138642,,
212870786,-77.559837,43.144521,,
212870790,-77.5601496,43.1432823,,
212887533,-77.553791,43.139646,,
212887543,-77.563632,43.139623,,
212899585,-77.553813,43.138933,,
212940245,-77.555103,43.14306,,
212940289,-77.5662547,43.1437423,,
457764874,-77.547875,43.1431717,,
651254122,-77.5722426,43.1369653,,
925073664,-77.5551984,43.1447662,,
1260394588,-77.5527029,43.1451126,,
2056479725,-77.5661191,43.1436178,,
2056479744,-77.5668984,43.143502,,
3236892829,-77.5607001,43.1367827,,
3301035068,-77.5736973,43.1412755,,
4663793373,-77.5533112,43.1457301,,
4886764504,-77.5718774,43.1371921,,
4886771871,-77.5733305,43.1394631,,
4886771872,-77.5733119,43.1393035,,
4886798876,-77.5749133,43.139759,,
4952103357,-77.5473083,43.1436708,,
5156546210,-77.5737725,43.1392749,,
