osmid,x,y,ref,highway
212605067,-77.6234514,43.1573843,13,motorway_junction
212662508,-77.623472,43.156511,,
212662512,-77.624174,43.156491,,
212662518,-77.625449,43.156468,,
212662519,-77.6266433,43.156472,,
212684772,-77.6266433,43.155401,,
212684779,-77.627761,43.155395,,
212684781,-77.62835,43.155381,,
212710204,-77.625449,43.154828,,
212710210,-77.6266353,43.154828,,
212710215,-77.624254,43.155049,,
212754568,-77.6276164,43.1522339,,
212773083,-77.621408,43.155573,,
212773100,-77.623383,43.155739,,
212786068,-77.627745,43.15384,,
212786071,-77.627753,43.154344,,
212839842,-77.6289228,43.1530014,,
212839845,-77.6289363,43.1525516,,
212859486,-77.624251,43.153028,,
212874125,-77.620508,43.153898,,
212901117,-77.622153,43.153516,,
212901131,-77.625441,43.152742,,
212901134,-77.6266283,43.152475,,
212941079,-77.6266283,43.153844,,
212941084,-77.6266353,43.154344,,
212947866,-77.622429,43.154465,,
212962941,-77.625451,43.157133,,
