osmid,x,y,ref,highway
212721128,-76.136653,43.0516375,,motorway_junction
212721225,-76.142519,43.048906,,motorway_junction
212721286,-76.136654,43.051437,,
212724631,-76.143846,43.051061,,
212724649,-76.140466,43.051485,,
212731720,-76.142744,43.048229,18,motorway_junction
212735059,-76.1218859,43.052701,,
212735075,-76.117947,43.054229,,
212737871,-76.124028,43.052794,,
212738570,-76.118747,43.054176,14,motorway_junction
212745253,-76.119736,43.049274,,
212745264,-76.1199628,43.0496008,,
212745267,-76.1201392,43.0499417,,
212745978,-76.142454,43.0478476,,
212750766,-76.125804,43.052126,14,motorway_junction
212750779,-76.12231,43.052889,,
212754294,-76.1158214,43.0508101,,
212756961,-76.12154,43.0494259,,
212756964,-76.1208187,43.049743,,
212761175,-76.12241,43.049248,,
212761183,-76.1215569,43.0494731,,
212763039,-76.121842,43.053002,,traffic_signals
212776607,-76.117673,43.053179,,
212777269,-76.132013,43.051073,,
212777271,-76.132021,43.05064,,traffic_signals
212777275,-76.13203,43.050222,,stop
212777277,-76.132053,43.049327,,
212777281,-76.132067,43.048428,,stop
212777284,-76.132078,43.0477041,,
212777287,-76.132102,43.04692,,traffic_signals
212780453,-76.117112,43.048241,,
212780456,-76.117027,43.047174,,
212782339,-76.142162,43.0485661,,traffic_signals
212782342,-76.139932,43.048512,,stop
212782345,-76.137718,43.048487,,traffic_signals
212782349,-76.136519,43.048478,,traffic_signals
212782352,-76.134284,43.048457,,traffic_signals
212782357,-76.129771,43.048399,,stop
212782359,-76.127671,43.048368,,traffic_signals
212782362,-76.125576,43.048344,,
212782367,-76.123472,43.048316,,traffic_signals
212782370,-76.121356,43.048291,,traffic_signals
212782372,-76.119947,43.048274,,stop
212795459,-76.142121,43.05035,,traffic_signals
212795460,-76.139896,43.050326,,stop
212795473,-76.136468,43.050278,,stop
212795475,-76.134248,43.050251,,stop
212795477,-76.129733,43.050191,,stop
212795479,-76.127626,43.050158,,
212802811,-76.1399573,43.0472755,,
212802817,-76.1377478,43.0469751,,traffic_signals
212802818,-76.136559,43.046865,,traffic_signals
212802823,-76.13433,43.046882,,traffic_signals
212802824,-76.130799,43.046941,,
212802826,-76.129804,43.046961,,
212802829,-76.1277,43.046997,,traffic_signals
212802831,-76.1255813,43.0470407,,
212802836,-76.1243816,43.0470617,,
212802842,-76.12348,43.046851,,
212802846,-76.122513,43.046507,,
212802851,-76.121463,43.046102,,traffic_signals
212802853,-76.121223,43.045975,,traffic_signals
212802901,-76.11574,43.045413,,traffic_signals
212811245,-76.1256737,43.0499208,,
212811261,-76.1234341,43.0494334,,
212811269,-76.1215978,43.0495699,,traffic_signals
212811274,-76.1191047,43.0502406,,
212811278,-76.1162296,43.0510376,,
212811401,-76.1276195,43.0504239,,traffic_signals
212811420,-76.1234413,43.0493317,,
212811426,-76.1215108,43.0492846,,traffic_signals
212811435,-76.1189278,43.0499041,,
212811437,-76.1184089,43.0500527,,
212811439,-76.1160748,43.0507348,,
212827478,-76.125466,43.04913,,
212827496,-76.123456,43.048751,,
212827511,-76.121346,43.048512,,
212827523,-76.119974,43.048855,,
212854449,-76.1421145,43.0507702,,traffic_signals
212864692,-76.137736,43.047588,,
212864693,-76.1377501,43.0461458,,
212866278,-76.119829,43.047126,,stop
212893389,-76.121694,43.050786,,
212893405,-76.11967,43.051308,,stop
212893408,-76.1189026,43.0515462,,
212896330,-76.1343018,43.047725,,
212896338,-76.1297853,43.0476818,,
212897120,-76.143852,43.050846,,traffic_signals
212897126,-76.1398973,43.050757,,
212897135,-76.136459,43.050707,,traffic_signals
212897138,-76.134236,43.050671,,
212897142,-76.130597,43.050613,,traffic_signals
212897144,-76.12974,43.050605,,
212907140,-76.123489,43.047091,,stop
212907144,-76.121402,43.047109,,stop
212917472,-76.142136,43.049461,,traffic_signals
212917475,-76.1421787,43.0480603,,
212927410,-76.139906,43.049427,,
212927413,-76.1399565,43.0479401,,
212927423,-76.1399555,43.0476323,,
212936895,-76.136446,43.051157,,
212952188,-76.130735,43.046294,,
212970710,-76.122445,43.045467,,
212988169,-76.1218225,43.0524074,,
212994172,-76.125501,43.052556,,
212998183,-76.129752,43.049306,,
213002833,-76.12765,43.049189,,
213002845,-76.1273013,43.0462166,,
213027391,-76.1160031,43.0499975,,
213037050,-76.130668,43.051055,,
213038807,-76.134224,43.051113,,
213038811,-76.134264,43.049356,,
213042066,-76.1285823,43.0492896,,
213076066,-76.129081,43.0461323,,
213116477,-76.127605,43.051042,,stop
319632307,-76.1411673,43.0479473,,
1129169730,-76.1377622,43.0511758,,
1716510162,-76.1224737,43.0459352,,
1716510165,-76.1254995,43.0461453,,
1934556197,-76.1188667,43.0497908,,
1934556204,-76.1184917,43.049928,,
2559983213,-76.1388925,43.0494146,,
2798861980,-76.1175927,43.051431,,
