u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
212723279,212742843,0,False,primary,Hiawatha Boulevard East,59.979,,,,,,,,,,,20143750,
212723279,212796075,0,False,primary,North Salina Street,66.813,2,,,,,,,,,,45739459,
212723279,2958712248,0,False,primary,Hiawatha Boulevard West,33.726,6,,,,,,,,,,20144233,
212735243,212735265,0,True,motorway_link,,235.87,1,,,30 mph,,,,,,,20119288,
212735265,212735282,0,True,motorway_link,,88.529,1,,,30 mph,,,,,,,20119288,
212735265,212738927,0,True,motorway_link,,44.065,1,,,30 mph,,,,,,,20119614,
212735282,212823332,0,True,secondary,Sunset Avenue,86.671,2,,,,,,,,,,139750901,
212738927,212823331,0,False,unclassified,Sunset Avenue,99.944,,,,,,,,,,,20128060,
212738927,212941930,0,False,residential,Danforth Street,56.87,,,,,,,,,,,20140787,
212738927,212735282,0,True,unclassified,Sunset Avenue,65.255,,,,,,,,,,,97528882,
212738927,212808652,0,False,residential,Basin Street,203.752,,,,,,,,,,,20126762,
212740551,212978303,0,False,tertiary,Hiawatha Boulevard East,152.184,2,,,,,,,,,,317569539,
212740551,213014169,0,False,tertiary,Hiawatha Boulevard East,152.964,2,,,,,,,,,,317569539,
212740551,212858557,0,False,tertiary,Grant Boulevard,139.509,2,,,,,,,,,,487814285,
212742843,212723279,0,False,primary,Hiawatha Boulevard East,59.979,,,,,,,,,,,20143750,
212742843,212773366,0,False,secondary,Hiawatha Boulevard East,86.413,,,,,,,,,,,139750701,
212751453,213097265,0,False,tertiary,Grant Boulevard,39.651,2,,,,,,,,,,226009118,
212751453,212757403,0,False,tertiary,Grant Boulevard,58.563,2,,,,,,,,,,487814285,
212752103,212752109,0,True,motorway_link,,133.824,1,,,,,,,,,,175688046,
212752109,212735243,0,True,motorway,,433.849,3,,,55 mph,,,,,,,"[194546282, 321177943]",I 81
212757041,212823335,0,True,secondary,Sunset Avenue,125.939,2,,,,,,,,,,139456812,NY 298
212757399,212757403,0,True,tertiary_link,,19.361,1,,,,,,,,,,20121686,
212757399,213097261,0,False,residential,Grant Boulevard,85.805,,,,,,,,,,,249138783,
212757403,213097653,0,False,tertiary,Grant Boulevard,45.352,2,,,,,,,,,,487814285,
212757403,212751453,0,False,tertiary,Grant Boulevard,58.563,2,,,,,,,,,,487814285,
212763183,212941917,0,False,unclassified,North State Street,43.228,,,,,,,,,,,564469954,
212763183,212752103,0,True,motorway_link,,53.717,1,,,,,,,,,,20122426,
212766635,212766637,0,False,residential,Gannett Alley,58.11,,,,,,,,,,,20133550,
212766635,212881954,0,False,residential,Gannett Alley,154.0,,,,,,,,,,,20133550,
212766635,212841078,0,False,residential,6th North Street,75.576,,,,,,,,,,,20129672,
212766635,212841072,0,False,residential,6th North Street,57.963,,,,,,,,,,,20129672,
212766637,212766635,0,False,residential,Gannett Alley,58.11,,,,,,,,,,,20133550,
212773357,212773359,0,False,unclassified,Park Street,83.58,2,,,,,,,,,,20123717,
212773357,212824795,0,True,unclassified,Washington Square,111.403,,,,,,,,,,,20147092,
212773359,212858544,0,False,primary,Wolf Street,148.228,2,,,30 mph,,,,,,,20138411,US 11
212773359,212796072,0,False,primary,Wolf Street,145.38,2,,,30 mph,,,,,,,20138411,US 11
212773359,212773357,0,False,unclassified,Park Street,83.58,2,,,,,,,,,,20123717,
212773359,212773361,0,False,secondary,Park Street,106.237,"['2', '3']",,,,,,,,,,"[317569549, 97528926]",NY 370
212773361,212796075,0,False,residential,Exchange Place,145.86,,,,,,,,,,,20139096,
212773361,212773366,0,False,secondary,Park Street,45.956,3,,,,,,,,,,317569549,NY 370
212773361,212773359,0,False,secondary,Park Street,106.237,"['3', '2']",,,,,,,,,,"[317569549, 97528926]",NY 370
212773366,212742843,0,False,secondary,Hiawatha Boulevard East,86.413,,,,,,,,,,,139750701,
212773366,212912924,0,False,tertiary,Hiawatha Boulevard East,144.745,"['4', '2']",,,,,,,,,,"[317569539, 97536093]",
212773366,212773361,0,False,secondary,Park Street,45.956,3,,,,,,,,,,317569549,NY 370
212773460,212850472,0,False,residential,Oberst Street,143.414,,,,,,,,,,,20130513,
212773460,212773468,0,False,unclassified,Park Street,217.557,2,,,,,,,,,,20123721,
212773468,212773470,0,False,unclassified,Park Street,85.209,2,,,,,,,,,,20123721,
212773468,212780760,0,False,residential,John Street,149.333,,,,,,,,,,,20133698,
212773468,212773460,0,False,unclassified,Park Street,217.557,2,,,,,,,,,,20123721,
212773468,212883211,0,False,residential,John Street,142.046,,,,,,,,,,,20133698,
212773470,212773471,0,False,unclassified,Park Street,84.87,2,,,,,,,,,,20123721,
212773470,212773468,0,False,unclassified,Park Street,85.209,2,,,,,,,,,,20123721,
212773470,212848457,0,False,residential,East Division Street,141.822,,,,,,,,,,,20130335,
212773470,212848436,0,False,residential,East Division Street,364.139,,,,,,,,,,,20130335,
212773471,212773473,0,False,unclassified,Park Street,130.876,2,,,,,,,,,,20123721,
212773471,212773470,0,False,unclassified,Park Street,84.87,2,,,,,,,,,,20123721,
212773471,212892612,0,False,residential,Mary Street,52.22,,,,,,,,,,,20134668,
212773471,212892609,0,False,residential,Mary Street,48.904,,,,,,,,,,,20134668,
212773473,212773477,0,False,unclassified,Park Street,99.403,2,,,,,,,,,,20123721,
212773473,212773471,0,False,unclassified,Park Street,130.876,2,,,,,,,,,,20123721,
212773477,212773473,0,False,unclassified,Park Street,99.403,2,,,,,,,,,,20123721,
212773477,212912900,0,False,unclassified,Pond Street,140.742,2,,,,,,,,,,20149785,
212773477,212773482,0,False,unclassified,Park Street,307.588,2,,,,,,,,,,20123721,
212773477,212878020,0,False,unclassified,Pond Street,76.837,2,,,,,,,,,,20149785,
212773482,212878028,0,False,residential,Kirkpatrick Street,70.771,,,,,,,,,,,20150520,
212773482,212912906,0,False,residential,Kirkpatrick Street,144.562,,,,,,,,,,,20150520,
212773482,212773487,0,False,unclassified,Park Street,151.567,2,,,,,,,,,,20123721,
212773482,212773477,0,False,unclassified,Park Street,307.588,2,,,,,,,,,,20123721,
212773487,212773489,0,False,unclassified,Park Street,151.333,2,,,,,,,,,,20123721,
212773487,212912910,0,False,residential,Danforth Street,146.065,,,,,,,,,,,20140787,
212773487,212784762,0,False,residential,Danforth Street,144.621,,,,,,,,,,,20140787,
212773487,212773482,0,False,unclassified,Park Street,151.567,2,,,,,,,,,,20123721,
212773489,212773487,0,False,unclassified,Park Street,151.333,2,,,,,,,,,,20123721,
212773489,212773492,0,False,unclassified,Park Street,146.043,2,,,,,,,,,,158398394,
212773489,212970034,0,False,secondary,Court Street,75.997,2,,,,,,,,,,249488955,NY 298
