osmid,x,y,ref,highway
213344177,-73.196306,40.797158,,
213344186,-73.193399,40.797798,,
213344684,-73.213248,40.797677,,
213344698,-73.208899,40.7986,,
213357383,-73.202523,40.799669,,
213357388,-73.201957,40.799802,,
213357410,-73.201201,40.800834,,
213357736,-73.200504,40.777699,,
213357744,-73.2006742,40.7789782,,
213357942,-73.2087215,40.7554249,,
213367879,-73.18895,40.79068,,
213370313,-73.1956609,40.7680217,,
213371486,-73.188714,40.799813,,
213371487,-73.188873,40.799905,,
213371490,-73.187242,40.799084,,
213371492,-73.187472,40.799212,,
213386814,-73.206344,40.782827,,
213386818,-73.206682,40.782743,,
213394544,-73.197597,40.780281,,
213394571,-73.196383,40.780603,,
213394580,-73.191482,40.779201,,
213394592,-73.191007,40.779761,,
213394603,-73.19015,40.779897,,
213397207,-73.1938157,40.7677917,,
213397217,-73.193542,40.7662584,,
213399956,-73.172709,40.783355,,
213399962,-73.171667,40.783453,,
213401128,-73.2077911,40.7936806,,
213401131,-73.2076164,40.7932421,,
213409266,-73.178086,40.790105,,
213409267,-73.178706,40.790088,,
213409268,-73.179179,40.789925,,
213413909,-73.1916841,40.7580906,,
213413929,-73.1942914,40.7642539,,
213423035,-73.1924159,40.7703092,,
213433239,-73.1970166,40.8027229,,
213433257,-73.193504,40.799873,,
213438939,-73.2058258,40.7907534,,
213438942,-73.2070103,40.7904285,,
213450230,-73.1916123,40.7878356,,
213450233,-73.18848,40.788157,,
213450234,-73.185393,40.788493,,
213450237,-73.182677,40.788768,,
213451978,-73.201863,40.7783,,
213451984,-73.202113,40.778944,,
213451987,-73.202378,40.779583,,
213451992,-73.202638,40.78023,,
213452740,-73.209866,40.760246,,
213452742,-73.206881,40.760488,,
213452746,-73.203916,40.760731,,
213452748,-73.2032448,40.7607737,,
213452770,-73.187408,40.774285,,
213452772,-73.185974,40.774436,,
213452775,-73.182882,40.774749,,
213452777,-73.179768,40.775072,,
213454732,-73.202849,40.79166,,
213454741,-73.200275,40.792227,,
213455031,-73.189888,40.77844,,
213455034,-73.186767,40.778764,,
213455037,-73.18368,40.779088,,
213463442,-73.207428,40.774866,,
213463444,-73.20844,40.77471,,
213463447,-73.20933,40.774569,,
213463450,-73.210342,40.774406,,
213463453,-73.211248,40.774266,,
213463457,-73.212131,40.774123,,
213463459,-73.213022,40.773983,,
213463462,-73.213694,40.773878,,
213467520,-73.171715,40.776162,,
213469862,-73.218294,40.786493,,
213469865,-73.2181,40.785778,,
213469868,-73.217767,40.784566,,
213469870,-73.217436,40.783366,,
213469872,-73.217105,40.782147,,
213469873,-73.21676,40.780952,,
213470445,-73.1945528,40.7808527,,
213485688,-73.180462,40.778858,,
213485695,-73.177213,40.779276,,
213491234,-73.210561,40.765165,,
213491241,-73.20512,40.766379,,
213491244,-73.20805,40.765934,,
213491250,-73.210602,40.765535,,
213492259,-73.211725,40.77006,,
213492264,-73.206438,40.771227,,
213492269,-73.209356,40.770769,,
213492272,-73.211886,40.770373,,
213492287,-73.220554,40.78702,,
213492430,-73.176125,40.778589,,
213492433,-73.172633,40.777436,,
213492711,-73.212819,40.803092,,
213492713,-73.212645,40.802919,,
213492729,-73.209587,40.799399,,
213492732,-73.209289,40.799067,,
213492734,-73.208622,40.798299,,
213492736,-73.208289,40.797906,,
213492740,-73.2073392,40.7968235,,
213492742,-73.206716,40.796123,,
213492744,-73.206547,40.795916,,
213492745,-73.206291,40.795623,,
213492747,-73.206026,40.795318,,
213492750,-73.205768,40.795029,,
213492756,-73.205251,40.794428,,
213492757,-73.2050734,40.7942494,,
213492759,-73.204153,40.79319,,
213492761,-73.203527,40.792478,,
213492765,-73.2019889,40.7906367,,
213501411,-73.188587,40.775613,,
213501413,-73.186229,40.77587,,
213501415,-73.183151,40.776188,,
213501417,-73.180034,40.776526,,
213504115,-73.215912,40.802359,,
213504118,-73.21568,40.801473,,
213504120,-73.21548,40.800755,,
213504144,-73.214693,40.799204,,
213504159,-73.214358,40.79812,,
213504167,-73.21406,40.797191,,
213504179,-73.214129,40.796581,,
213504203,-73.213774,40.79391,,
213504208,-73.213271,40.793689,,
213504223,-73.212717,40.79223,,
213504257,-73.213347,40.789615,,
213504263,-73.213014,40.78834,,
213506500,-73.185796,40.799313,,
213506527,-73.187075,40.798273,,
213506551,-73.185176,40.796448,,
213506609,-73.2017803,40.7901678,,
213506611,-73.2015772,40.7896422,,
213506613,-73.201472,40.789264,,
213506615,-73.201327,40.788439,,
213506618,-73.201161,40.787534,,
213506621,-73.201104,40.787255,,
213506624,-73.200932,40.786298,,
213506630,-73.200802,40.785613,,
213506633,-73.200689,40.78494,,
213506636,-73.200549,40.784254,,
213506641,-73.200422,40.783548,,
213506644,-73.200298,40.782873,,
213506647,-73.200168,40.782184,,
213506650,-73.20004,40.781505,,
213506665,-73.199325,40.777703,,
213506671,-73.19868,40.774121,,
213506677,-73.198026,40.770636,,
213506684,-73.1976733,40.7686981,,
213506693,-73.1971331,40.7658585,,
213506703,-73.1968155,40.7639819,,
213506712,-73.1957639,40.7581145,,
213509262,-73.215489,40.786412,,
213509265,-73.215441,40.786201,,
213509267,-73.215112,40.78499,,
213509270,-73.21478,40.783787,,
213509275,-73.214448,40.782578,,
213509277,-73.214107,40.781381,,
213509279,-73.213779,40.780165,,
213509281,-73.213443,40.77895,,
213509284,-73.213111,40.777743,,
213509287,-73.212784,40.776539,,
213509290,-73.212461,40.775332,,
213510038,-73.217304,40.780864,,
213510041,-73.215883,40.781091,,
213510044,-73.21499,40.781233,,
213510047,-73.213226,40.781517,,
