u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
213358615,213859502,0,False,residential,Blydenburgh Road,53.373,,,,,,,,,,,20255649,
213358615,1400939807,0,True,primary,Express Drive,400.405,,,,,,,,,,,182690809,
213358629,213358615,0,True,motorway_link,,419.476,,,,,,,,,,,20175051,
213361378,213361382,0,False,residential,,208.714,,,,,,,,,,,20175327,
213361378,4189837902,0,False,tertiary,Johnson Avenue,191.327,,,,,,,,,,,20235368,
213361378,213661660,0,False,tertiary,Johnson Avenue,116.018,,,,,,,,,,,20235368,
213361382,213361378,0,False,residential,,208.714,,,,,,,,,,,20175327,
213362193,213362197,0,True,motorway_link,,299.35,,,,,,,,,,,20175411,
213362193,213362245,0,True,motorway,Long Island Expressway,1013.016,4,,,,,,,,,,29470267,I 495
213362197,213362215,0,True,secondary,Express Drive,171.334,,,,,,,,,,,20218682,
213362215,213362224,0,True,secondary,Express Drive,126.815,,,,,,,,,,,20218682,
213362215,213801442,0,False,tertiary,Old Nichols Road,72.068,,,,,,,,,,,126380803,
213362215,213373132,0,False,tertiary,"['Old Nichols Rd', 'Old Nichols Road']",230.106,,,,,,,yes,,,,"[126380803, 77155476, 40535295]",
213362224,213362237,0,True,secondary,Express Drive,133.802,,,,,,,,,,,20218682,
213362224,213801473,0,False,residential,Schafter Street,70.72,,,,,,,,,,,20228764,
213362237,213385038,0,True,secondary,Express Drive,449.117,,,,,,,,,,,20218682,
213362237,213362245,0,True,motorway_link,,290.246,,,,,,,,,,,40535294,
213362245,213358629,0,True,motorway,Long Island Expressway,937.003,4,,,,,,,,,,29470267,I 495
213364932,213858482,0,False,residential,Corporate Plaza,89.003,,,,,,,,,,,20234909,
213373124,213373132,0,True,secondary,Express Drive,186.98,,,,,,,,,,,182690801,
213373132,213373138,0,True,secondary,Long island Expressway South Service Road,179.362,,,,,,,,,,,20220123,
213373132,213362215,0,False,tertiary,"['Old Nichols Rd', 'Old Nichols Road']",230.106,,,,,,,yes,,,,"[126380803, 77155476, 40535295]",
213373132,213860274,0,False,tertiary,Old Nichols Road,58.769,,,,,,,,,,,77155476,
213373138,213858343,0,True,secondary,Long island Expressway South Service Road,60.304,,,,,,,,,,,20220123,
213373138,214123082,0,False,residential,Shafter Street East,72.413,,,,,,,,,,,20243052,
213378416,213378419,0,False,residential,,60.5,,,,,,,,,,,20177176,
213378416,213600571,0,False,residential,Silverleaf Lane,180.75,,,,,,,,,,,20248630,
213378416,213857042,0,False,residential,Silverleaf Lane,179.173,,,,,,,,,,,20248630,
213378419,213378416,0,False,residential,,60.5,,,,,,,,,,,20177176,
213385038,213358615,0,True,secondary,Express Drive,1188.85,,,,,,,,,,,20218682,
213385038,214139058,0,False,residential,Bedford Avenue,209.486,,,,,,,,,,,20239886,
213436572,214367357,0,False,residential,Bridge Road,481.079,,,,,,,,,,,20238553,
213436572,213709083,0,False,residential,Bridge Road,252.25,,,,,,,,,,,20238553,
213436572,213859783,0,False,residential,Hoffman Lane,301.665,,,,,,,,,,,28773464,
213442548,213442550,0,False,residential,Halsey Street,201.282,,,,,,,,,,,20185677,
213442548,213977833,0,False,residential,Bedford Avenue,91.925,,,,,,,,,,,20239894,
213442548,213878419,0,False,residential,Bedford Avenue,76.451,,,,,,,,,,,20239894,
213442548,214104426,0,False,residential,Serpentine Lane,496.72,,,,,,,,,,,20250819,
213442550,213442548,0,False,residential,Halsey Street,201.282,,,,,,,,,,,20185677,
213442550,213860312,0,False,tertiary,Old Nichols Road,18.154,,,,,,,,,,,77155476,
213442550,213860300,0,False,tertiary,Old Nichols Road,80.035,,,,,,,,,,,77155476,
213460618,328810582,0,False,residential,Sycamore Avenue,15.218,,,,,,,,,,,49801042,
213460618,1400943164,0,False,residential,Sycamore Avenue,738.847,,,,,,,,,,,"[20186864, 49801042]",
213460633,1400943164,0,False,residential,Sycamore Avenue,68.165,,,,,,,,,,,20186864,
213460633,1400943181,0,False,residential,Sycamore Avenue,24.886,,,,,,,,,,,20186864,
213460633,1400943153,0,True,primary,Veterans Memorial Highway,71.025,,,,,,,,,,,126354335,NY 454
213460636,1400943166,0,False,residential,Sycamore Avenue,41.877,,,,,,,,,,,20186864,
213460636,213460639,0,False,residential,Sycamore Avenue,364.252,,,,,,,,,,,20186864,
213460636,213857042,0,False,residential,Silverleaf Lane,142.295,,,,,,,,,,,20248630,
213460639,213460636,0,False,residential,Sycamore Avenue,364.252,,,,,,,,,,,20186864,
213472190,213860238,0,False,tertiary,Old Nichols Road,10.796,,,,,,,,,,,126380803,
213472190,1401127345,0,False,residential,Dewey Street,245.561,,,,,,,,,,,20187705,
213472190,213587142,0,False,tertiary,Old Nichols Road,213.19,,,,,,,,,,,126380803,
213479077,213479105,0,False,residential,Oak Forest Drive,257.111,,,,,,,,,,,20188143,
213479077,213604396,0,False,residential,Sampson Avenue,356.09,,,,,,,,,,,20204132,
213479077,213661609,0,False,residential,Sampson Avenue,250.734,,,,,,,,,,,20204132,
213479105,213479077,0,False,residential,Oak Forest Drive,257.111,,,,,,,,,,,20188143,
213479105,214077276,0,False,tertiary,Johnson Avenue,225.213,,,,,,,,,,,20235368,
213479105,213604353,0,False,tertiary,Johnson Avenue,220.074,,,,,,,,,,,20235368,
