osmid,x,y,ref,highway
213399574,-73.2793383,40.7719841,,
213399593,-73.2797503,40.76928,,
213419168,-73.275211,40.7475532,,
213427263,-73.2632298,40.7501908,,
213427329,-73.2633434,40.7493413,,
213429895,-73.2798018,40.7718801,,
213432618,-73.2634193,40.7487336,,
213442776,-73.260194,40.7729,,
213442780,-73.263301,40.772886,,
213453390,-73.254774,40.761916,,
213453393,-73.254927,40.760669,,
213453396,-73.255026,40.759923,,
213453398,-73.255249,40.758219,,
213453404,-73.255403,40.756979,,
213453407,-73.25556,40.755746,,
213453409,-73.255727,40.754522,,
213453412,-73.255875,40.753302,,
213453417,-73.256449,40.752098,,
213453424,-73.257305,40.750978,,
213453436,-73.257751,40.749464,,
213453442,-73.257778,40.748581,,
213468816,-73.272339,40.767751,,turning_circle
213468819,-73.272103,40.766861,,
213469804,-73.271825,40.765839,,turning_circle
213482101,-73.259857,40.776417,,
213482107,-73.263323,40.775637,,
213482113,-73.265402,40.77516,,
213482116,-73.266231,40.774971,,
213482118,-73.267061,40.774788,,
213482120,-73.267871,40.774609,,
213482124,-73.272598,40.773541,,
213482127,-73.274762,40.773038,,
213483265,-73.272301,40.749481,,
213483270,-73.273604,40.7493,,
213484361,-73.276113,40.757612,,
213484363,-73.277012,40.757488,,
213484365,-73.277578,40.757409,,
213503999,-73.260116,40.773585,,
213504002,-73.263303,40.773577,,
213509721,-73.25991,40.775704,,
213510810,-73.261673,40.762309,,
213510814,-73.264584,40.762579,,
213519001,-73.277431,40.763906,,
213519013,-73.276615,40.75966,,
213519019,-73.2754385,40.7548073,,
213519025,-73.274737,40.752028,,
213519031,-73.274207,40.749934,,
213519037,-73.273852,40.748497,,
213521486,-73.262068,40.759181,,
213521491,-73.266433,40.75957,,
213527896,-73.263269,40.769792,,
213527899,-73.260768,40.769157,,
213528481,-73.246204,40.763162,,
213528483,-73.246191,40.762997,,
213528486,-73.246066,40.762173,,
213528489,-73.245935,40.761354,,
213528491,-73.245816,40.760537,,
213528496,-73.245687,40.759709,,
213528498,-73.245559,40.758889,,
213528501,-73.24544,40.758066,,
213528503,-73.24534,40.757476,,
213528505,-73.24527,40.757258,,
213528507,-73.245103,40.756816,,
213528509,-73.244986,40.756462,,
213528513,-73.244762,40.75585,,
213528515,-73.244707,40.755667,,
213528517,-73.244432,40.754876,,
213528522,-73.244147,40.754077,,
213528524,-73.244082,40.753912,,
213528527,-73.243882,40.753272,,
213528530,-73.2437611,40.7529381,,
213531859,-73.26195,40.759953,,
213531862,-73.258862,40.759718,,
213531876,-73.252175,40.760383,,
213531879,-73.248577,40.760932,,
213531888,-73.244908,40.761462,,
213531899,-73.243156,40.761858,,
213537093,-73.261586,40.763073,,
213537099,-73.267462,40.763602,,
213537124,-73.270118,40.764266,,
213539086,-73.256815,40.749722,,
213539117,-73.253505,40.749426,,
213539127,-73.251866,40.749804,,
213539136,-73.250849,40.750098,,
213540566,-73.23627,40.759029,,
213552193,-73.259981,40.774946,,
213552195,-73.263317,40.77493,,
213567705,-73.2665924,40.7729656,,
213568321,-73.251553,40.755483,,
213568329,-73.248308,40.756171,,
213571997,-73.238692,40.76009,,
213576486,-73.232105,40.757325,,
213576489,-73.231299,40.756985,,
213576493,-73.230206,40.756559,,
213576508,-73.229018,40.755594,,
213577998,-73.250357,40.752642,,
213578002,-73.247288,40.753265,,
213578846,-73.273611,40.752193,,
213578849,-73.27562,40.751896,,
213578852,-73.276529,40.751769,,
213578855,-73.277577,40.751621,,
213590534,-73.276296,40.770534,,
213590538,-73.275748,40.768466,,
213590541,-73.275186,40.766391,,
213590547,-73.274637,40.764292,,
213596289,-73.262768,40.753805,,
213596292,-73.259663,40.753588,,
213596303,-73.251211,40.752937,,
213596377,-73.274875,40.773465,,
213596381,-73.27418,40.770862,,
213596384,-73.273631,40.768795,,
213596387,-73.273074,40.766717,,
213596393,-73.272505,40.764595,,
213597811,-73.275242,40.770694,,
213601319,-73.261107,40.766803,,
213618264,-73.23533,40.754643,,
213618267,-73.235549,40.755429,,
213618273,-73.235766,40.756257,,
213618279,-73.235971,40.757054,,
213618282,-73.236187,40.757859,,
213618284,-73.236379,40.758594,,
213618288,-73.2365,40.759134,,
213622799,-73.278493,40.768349,,
213622807,-73.278474,40.764037,,
213622814,-73.278464,40.759629,,
213622820,-73.278454,40.754545,,
213622827,-73.278446,40.74949,,
213623130,-73.271499,40.762499,,
213623133,-73.272645,40.762331,,
213636382,-73.260031,40.774269,,
213636385,-73.263311,40.774261,,
213641374,-73.230848,40.755721,,
213641378,-73.230748,40.755384,,
213641621,-73.2731556,40.7709543,,
213641624,-73.273551,40.772562,,
213645290,-73.2716695,40.7553486,,
213645297,-73.271348,40.754051,,
213648895,-73.263068,40.75139,,
213648896,-73.259976,40.751173,,
213648914,-73.254242,40.750571,,
213659478,-73.250631,40.753622,,
213659481,-73.247624,40.754231,,
213663305,-73.272056,40.764658,,
213663310,-73.273462,40.764458,,
213663311,-73.27565,40.764134,,
213663314,-73.276751,40.763982,,
213672534,-73.268195,40.766229,,turning_circle
213673106,-73.234734,40.758409,,
213678660,-73.270971,40.760476,,
213683639,-73.253753,40.750722,,
213692592,-73.237407,40.759529,,
213698243,-73.258545,40.762191,,
213698255,-73.2587,40.760952,,
213698264,-73.259017,40.758495,,
213698267,-73.259179,40.757278,,
213698270,-73.25934,40.756035,,
213698272,-73.259504,40.754803,,
213698275,-73.259813,40.752349,,
213708026,-73.248794,40.761755,,
213713392,-73.2772227,40.7545511,,
213713394,-73.2763043,40.754683,,
213713396,-73.2743087,40.7549696,,
213713398,-73.2736217,40.755067,,
213713400,-73.2709401,40.7554534,,traffic_signals
213713402,-73.2687879,40.7557625,,
213713404,-73.267921,40.755887,,
213730950,-73.240759,40.754606,,
213736142,-73.262915,40.752582,,
213736145,-73.262855,40.75302,,
213736148,-73.262607,40.755037,,
213736151,-73.262442,40.756275,,
213736154,-73.262429,40.756414,,
213736157,-73.262341,40.757048,,
213736159,-73.26228,40.757509,,
213736162,-73.262242,40.757896,,
213736168,-73.262128,40.758727,,
213736174,-73.261896,40.760423,,
213736177,-73.26181,40.761189,,
213736180,-73.261664,40.762435,,
213736183,-73.261497,40.763665,,
213736185,-73.261352,40.764896,,
213736190,-73.261199,40.766117,,
213736192,-73.261012,40.767488,,
213736201,-73.260615,40.770139,,
213736204,-73.260503,40.770831,,
213736208,-73.260395,40.771521,,
213736211,-73.260292,40.772213,,
213737034,-73.27694,40.749534,,
213737037,-73.276604,40.748193,,
213738753,-73.267849,40.76092,,
213738754,-73.269198,40.760724,,
213738756,-73.270076,40.760601,,
213738759,-73.27215,40.760305,,
213738764,-73.274835,40.759911,,
213738766,-73.277502,40.759526,,
213753445,-73.273048,40.763547,,
213753447,-73.275574,40.763193,,
213758822,-73.276274,40.750657,,
213758826,-73.27603,40.74967,,
213758830,-73.275563,40.747865,,
213796743,-73.248171,40.752047,,
213811038,-73.231955,40.75687,,
213815846,-73.249008,40.762561,,
213818883,-73.246631,40.751397,,
213818886,-73.246948,40.752301,,
213818890,-73.247975,40.755209,,
213818893,-73.2485,40.756702,,
213828652,-73.275103,40.749805,,
213828655,-73.273093,40.750089,,
213828658,-73.272427,40.750183,,
213828667,-73.269736,40.750572,,
213829308,-73.242492,40.761044,,
213829312,-73.248355,40.760142,,
213836971,-73.274686,40.748149,,
213836984,-73.27648,40.755361,,
213836986,-73.276671,40.756078,,
213843926,-73.23429,40.75822,,
213843932,-73.241407,40.75703,,
213848887,-73.244808,40.762569,,
213856914,-73.272746,40.762745,,
213856917,-73.275451,40.762362,,
213866877,-73.270102,40.770294,,
213894038,-73.237181,40.759419,,
213894051,-73.241842,40.758644,,
213894064,-73.2477,40.757728,,
213894070,-73.251761,40.757084,,
213897831,-73.250907,40.750604,,
213898025,-73.277586,40.748056,,
213904257,-73.252264,40.75034,,turning_circle
213917087,-73.263281,40.771501,,
213934330,-73.274676,40.768633,,
213934333,-73.27414,40.766545,,
213934353,-73.272543,40.761929,,
213934356,-73.272348,40.761116,,
213934378,-73.2697835,40.7497864,,
213942629,-73.275242,40.761545,,
213971619,-73.263269,40.770136,,
213997464,-73.26476,40.752746,,
213997469,-73.265706,40.752753,,
213997479,-73.264821,40.750127,,
214006144,-73.263294,40.772199,,
214009797,-73.240534,40.753795,,
214009801,-73.240975,40.755424,,
214009805,-73.241195,40.756214,,
214009808,-73.241632,40.75786,,
214009813,-73.242055,40.759446,,
214009822,-73.242273,40.760235,,
214009827,-73.242608,40.76165,,
214028425,-73.27681,40.768306,,
214028429,-73.276256,40.766223,,
214028450,-73.275036,40.760733,,
214028529,-73.272338,40.749122,,
214028869,-73.277571,40.750479,,
214065297,-73.264324,40.757212,,
214069921,-73.263279,40.770823,,
214069946,-73.26647,40.7694394,,
214075371,-73.263269,40.769423,,
214085410,-73.265053,40.760698,,turning_circle
214096193,-73.247928,40.75853,,
214102312,-73.271835,40.77071,,
214102325,-73.2655947,40.7692223,,
214102331,-73.2647681,40.7690173,,
214102414,-73.24116,40.761122,,
214102423,-73.240058,40.760668,,
214102426,-73.235543,40.758739,,
214102429,-73.233366,40.757837,,
214103915,-73.270854,40.767055,,
214103918,-73.277294,40.766061,,
214103923,-73.277586,40.766015,,
214115553,-73.277447,40.768269,,
214116522,-73.251051,40.751701,,
214118753,-73.233439,40.756633,,
214173823,-73.251374,40.754197,,
214203258,-73.265667,40.756652,,
214209714,-73.277563,40.755215,,
214211104,-73.251975,40.758724,,
214211111,-73.248133,40.759331,,
214216495,-73.251606,40.75588,,
214216509,-73.251029,40.75156,,
214216514,-73.250828,40.74991,,
214240865,-73.247491,40.756953,,
214270417,-73.242841,40.75343,,
214270595,-73.266355,40.750056,,
214270622,-73.2615819,40.7497422,,
214270912,-73.250914,40.754602,,
214278552,-73.277576,40.755956,,
214302261,-73.273105,40.768878,,
214397348,-73.265172,40.758057,,turning_circle
327028883,-73.2733914,40.7479368,,
327683716,-73.2796922,40.7494756,,
327718138,-73.2676306,40.7491669,,
327718152,-73.2635966,40.7489913,,
327718154,-73.2629443,40.7488938,,
327724632,-73.2594509,40.7483801,,
327724639,-73.2629443,40.7490628,,
327724642,-73.2637167,40.7491799,,
327724659,-73.267519,40.7493424,,
331099386,-73.2798018,40.7708661,,
331099402,-73.2793812,40.7715876,,
