osmid,x,y,ref,highway
213344418,-73.147506,40.733035,,
213344420,-73.149736,40.732212,,
213381455,-73.1131642,40.7279919,,
213382882,-73.13174,40.736831,,
213382885,-73.131296,40.736796,,
213383278,-73.11156,40.740754,,
213383281,-73.111563,40.740988,,
213390357,-73.104782,40.737984,,
213390364,-73.104734,40.738968,,
213401220,-73.1098383,40.7211863,,
213405646,-73.1162541,40.725756,,
213405649,-73.1157928,40.7251868,,
213422058,-73.152003,40.730393,,
213422064,-73.151981,40.730181,,
213427110,-73.1480586,40.7335892,,
213433319,-73.142636,40.74674,,
213437125,-73.131104,40.743257,,
213437155,-73.121075,40.741776,,
213445320,-73.110359,40.738056,,
213445332,-73.110869,40.735376,,
213445630,-73.126746,40.749182,,
213445633,-73.12594,40.748841,,
213445634,-73.122651,40.747441,,
213445638,-73.121559,40.746962,,
213445643,-73.120288,40.746706,,
213447290,-73.11247,40.75002,,
213447304,-73.103217,40.750805,,
213447307,-73.102549,40.750854,,
213460580,-73.119097,40.751334,,
213460582,-73.119029,40.750817,,
213460589,-73.119128,40.749024,,
213463748,-73.111995,40.739869,,
213463833,-73.118963,40.739912,,
213463850,-73.118326,40.73912,,
213463856,-73.115686,40.737107,,
213468586,-73.1119756,40.7419305,,
213468589,-73.1194395,40.7420692,,
213470498,-73.124809,40.740146,,
213478242,-73.154873,40.73677,,
213478251,-73.152328,40.732776,,
213481824,-73.126907,40.747499,,
213481827,-73.12249,40.745709,,
213481841,-73.121715,40.74442,,
213481850,-73.121612,40.742632,,
213482283,-73.155968,40.736935,,
213490008,-73.1133318,40.746502,,
213490020,-73.113592,40.745601,,
213490023,-73.113609,40.743001,,
213491160,-73.148264,40.734244,,
213496646,-73.112698,40.735584,,
213496664,-73.109169,40.735526,,
213528879,-73.132351,40.741429,,
213528883,-73.133095,40.740136,,
213535319,-73.130279,40.744379,,
213535375,-73.1357735,40.7450096,,
213535378,-73.1356014,40.7449453,,
213537487,-73.112033,40.739782,,
213537499,-73.110785,40.73976,,
213537502,-73.110597,40.739756,,
213537505,-73.109937,40.739745,,
213537509,-73.109261,40.739736,,
213537512,-73.10862,40.739731,,
213539037,-73.128928,40.746226,,
213539287,-73.135046,40.73418,,
213539303,-73.135692,40.734441,,
213551894,-73.107611,40.737925,,
213551900,-73.107563,40.73909,,
213551922,-73.10777,40.739416,,
213566470,-73.111543,40.738802,,
213566471,-73.111319,40.738801,,
213566473,-73.110627,40.738784,,
213566475,-73.109977,40.738778,,
213566479,-73.109303,40.738779,,
213566499,-73.108656,40.740661,,
213566501,-73.108662,40.740893,,
213569748,-73.1136792,40.7285529,,
213569752,-73.1148168,40.72732,,
213572530,-73.100295,40.74606,,
213575434,-73.110769,40.740261,,
213575436,-73.110821,40.739664,,
213577246,-73.123932,40.739673,,
213577248,-73.124505,40.738107,,
213578893,-73.111918,40.739211,,
213578906,-73.1113,40.739498,,
213578908,-73.110612,40.739494,,
213580114,-73.129536,40.730127,,
213580116,-73.129144,40.730348,,
213584559,-73.147129,40.730973,,
213584565,-73.146724,40.731772,,
213584568,-73.146588,40.732017,,
213584574,-73.146218,40.732733,,
213584579,-73.1461827,40.7330373,,
213584602,-73.14779,40.732199,,
213587390,-73.120262,40.7449,,
213587407,-73.118905,40.744659,,
213587416,-73.117495,40.744047,,
213587431,-73.116084,40.74343,,
213587441,-73.111963,40.742954,,
213590429,-73.147407,40.739337,,
213590442,-73.146877,40.740073,,
213590460,-73.145544,40.742179,,
213590524,-73.150907,40.727848,,
213590528,-73.149787,40.727513,,
213593967,-73.150663,40.731582,,turning_circle
213605310,-73.134263,40.734069,,
213605320,-73.131396,40.736327,,
213605460,-73.155244,40.732355,,
213605469,-73.153728,40.732674,,
213605476,-73.1504289,40.7327192,,
213609648,-73.148611,40.741614,,
213609651,-73.151612,40.740316,,
213609659,-73.154421,40.739494,,
213616687,-73.130929,40.73856,,
213616701,-73.128777,40.737972,,turning_circle
213621717,-73.1134165,40.7256039,,
213622471,-73.138539,40.73301,,
213622478,-73.138411,40.732378,,
213622482,-73.138176,40.73065,,
213622488,-73.137782,40.727813,,
213622496,-73.136013,40.744029,,
213622498,-73.136335,40.742765,,
213632285,-73.1118231,40.7265203,,
213632287,-73.113106,40.7252234,,
213635502,-73.112207,40.7241216,,
213635504,-73.1117373,40.7245689,,
213642562,-73.135551,40.739588,,
213649131,-73.131273,40.735202,,
213649202,-73.129528,40.735852,,turning_circle
213653884,-73.119803,40.73993,,
213654084,-73.131616,40.73526,,
213654101,-73.129939,40.734782,,turning_circle
213655394,-73.116158,40.739268,,
213655415,-73.114781,40.737773,,
213660854,-73.13182,40.734295,,
213660880,-73.130538,40.733823,,turning_circle
213661409,-73.110407,40.734402,,
213661410,-73.110434,40.733683,,
213662306,-73.134026,40.743006,,
213662308,-73.134563,40.742159,,
213662311,-73.13539,40.74086,,
213662316,-73.136286,40.739825,,
213662322,-73.137173,40.738154,,
213662338,-73.136424,40.735022,,
213662345,-73.134112,40.733818,,
213662351,-73.133716,40.733204,,
213664590,-73.139502,40.730546,,
213664597,-73.136958,40.730753,,
213664599,-73.135774,40.73085,,
213664601,-73.134592,40.73095,,
213664603,-73.133409,40.731042,,
213665285,-73.137205,40.732476,,
213674544,-73.112464,40.73905,,
213694221,-73.140864,40.744333,,
213694223,-73.140527,40.745167,,
213709736,-73.107123,40.736969,,
213709739,-73.10724,40.735337,,
213709745,-73.107208,40.734621,,
213711210,-73.11366,40.736683,,
213711212,-73.111997,40.736504,,
213736526,-73.138809,40.744834,,
213736538,-73.13701,40.744943,,
213742641,-73.115297,40.7279085,,
213754742,-73.150865,40.736701,,
213754745,-73.150935,40.736348,,
213761693,-73.109281,40.740681,,
213761694,-73.110172,40.740711,,
213769962,-73.111562,40.740244,,
213771956,-73.145878,40.746474,,
213771964,-73.1467881,40.7451413,,
213771990,-73.14924,40.74212,,
213772007,-73.15244,40.739342,,
213772017,-73.149066,40.739546,,
213772024,-73.1477652,40.7393609,,
213772027,-73.1468138,40.7393465,,
213774260,-73.14186,40.738201,,
213774263,-73.140955,40.738177,,
213774266,-73.139153,40.738126,,
213781353,-73.149367,40.734654,,
213781359,-73.1502953,40.7343035,,
213781365,-73.151162,40.734005,,
213781387,-73.151923,40.733723,,
213781403,-73.149534,40.736664,,
213781419,-73.148029,40.738198,,
213787738,-73.110194,40.740241,,
213787872,-73.109273,40.740219,,
213789558,-73.138767,40.745675,,
213789563,-73.138846,40.744092,,
213789569,-73.138891,40.743414,,
213789579,-73.139402,40.73302,,
213789585,-73.139522,40.730073,,
213789592,-73.1396,40.728608,,
213789596,-73.1396465,40.7277391,,
213797699,-73.1500025,40.7446295,,
213797746,-73.14788,40.747211,,
213797779,-73.142681,40.744249,,
213797799,-73.139216,40.743349,,
213801491,-73.143148,40.74126,,
213801497,-73.142786,40.741197,,
213801504,-73.14172,40.741181,,
213810902,-73.13224,40.731825,,
213810905,-73.130623,40.732737,,
213819648,-73.134845,40.732663,,
213819650,-73.134156,40.727759,,
213827844,-73.131325,40.742076,,
213828298,-73.151506,40.736722,,
213828302,-73.149315,40.738386,,
213828316,-73.14906,40.740153,,
213828322,-73.147843,40.741002,,
213828346,-73.14374,40.743027,,
213828356,-73.142174,40.744839,,
213839501,-73.1164013,40.7537795,,
213839505,-73.116011,40.751182,,
213839508,-73.115857,40.750084,,
213839513,-73.115703,40.747803,,
213839526,-73.115103,40.747267,,
213839533,-73.1119892,40.746312,,
213843009,-73.109212,40.737028,,
213843012,-73.10815,40.736999,,
213847257,-73.1133252,40.7279594,,
213847261,-73.1129604,40.7275447,,
213847280,-73.1138735,40.7261639,,
213847807,-73.141652,40.742543,,
213858081,-73.151973,40.738094,,
213872078,-73.14919,40.731713,,
213890117,-73.121884,40.746512,,
213901348,-73.114154,40.750098,,
213901359,-73.113641,40.750129,,
213901406,-73.113557,40.747977,,
213901419,-73.11218,40.748118,,
213901432,-73.113566,40.747412,,
213902693,-73.112893,40.752962,,
213928429,-73.144121,40.728732,,
213928436,-73.142035,40.728675,,
213928441,-73.141401,40.728659,,
213945749,-73.13795,40.744156,,
213945761,-73.13703,40.744202,,
213954387,-73.134355,40.740216,,
213954431,-73.130651,40.739849,,
213960564,-73.142104,40.727024,,
213975536,-73.134692,40.736665,,
213975545,-73.133661,40.732767,,
213976710,-73.148821,40.730394,,turning_circle
213983274,-73.111616,40.739965,,
213983297,-73.144164,40.727821,,turning_circle
213994443,-73.1473774,40.7374494,,turning_circle
213994483,-73.152781,40.738074,,
213994756,-73.154013,40.736987,,
213994771,-73.156173,40.736929,,
213994777,-73.156621,40.736358,,
213998739,-73.1219283,40.750232,,
213998748,-73.120072,40.749423,,
213998751,-73.118451,40.748729,,
213998772,-73.11622,40.747573,,
214007417,-73.112658,40.7246743,,
214027031,-73.109069,40.738642,,
214027035,-73.10908,40.73804,,
214027080,-73.109189,40.734485,,
214046658,-73.155728,40.737558,,
214046801,-73.132323,40.731926,,
214057522,-73.113936,40.73398,,
214057534,-73.113103,40.733205,,
214078962,-73.153883,40.736783,,
214078967,-73.153338,40.735934,,
214093489,-73.1430507,40.7406306,,
214095402,-73.147892,40.746585,,
214112664,-73.1412,40.733081,,
214118625,-73.15067,40.733226,,
214118633,-73.150193,40.732633,,
214118640,-73.146734,40.730859,,
214120203,-73.140745,40.742637,,
214134482,-73.1222973,40.7389406,,
214136076,-73.133432,40.74179,,
214142633,-73.1467765,40.7366092,,
214149167,-73.1123166,40.7270894,,
214151763,-73.115445,40.73375,,
214151765,-73.113511,40.734052,,
214152263,-73.148943,40.733992,,
214161395,-73.130447,40.740796,,
214161399,-73.127353,40.739767,,
214161746,-73.120914,40.750657,,
214173122,-73.136026,40.732571,,
214173128,-73.1361215,40.733247,,
214178544,-73.1485858,40.7334135,,
214193889,-73.1437563,40.7457849,,
214194254,-73.1157499,40.7284635,,
214194258,-73.1143699,40.7267723,,
214194264,-73.1140912,40.7264307,,
214194268,-73.1135637,40.7257842,,
214195892,-73.149154,40.73432,,
214206816,-73.101658,40.746078,,
214206819,-73.1012,40.746072,,
214206823,-73.099389,40.746048,,
214206831,-73.097308,40.746024,,
214211146,-73.129011,40.728577,,
214216580,-73.148882,40.73389,,
214218696,-73.121704,40.738707,,
214218723,-73.121949,40.736386,,
214232349,-73.118019,40.745858,,
214247011,-73.132083,40.733054,,
214247017,-73.131174,40.737351,,
