u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
41694824,41813204,0,False,residential,Douw Street,73.539,,,,,,,,,,,580988370,
41694849,41739223,0,False,tertiary,6th Avenue,23.638,,,,30 mph,,,,,,,5617840,
41694849,41694873,0,True,motorway_link,,82.921,,,,25 mph,,,,,,,5611783,
41694849,1928646697,0,False,tertiary,6th Avenue,58.045,,,,30 mph,,,,,,,5617840,
41694873,41711018,0,True,motorway_link,,326.0,2,,,25 mph,,,yes,,,,"[31929600, 53309139]",
41708837,41734815,0,False,residential,7th Avenue,48.625,,,,30 mph,,,,,,,5630821,
41708837,41813200,0,False,residential,7th Avenue,79.103,,,,30 mph,,,,,,,5630821,
41708837,41813204,0,False,residential,Orr Street,159.069,,,,,,,,,,,"[5613945, 5636587]",
41709024,41816691,0,True,residential,Glen Avenue,67.166,,,,,,,,,,,109003720,
41709024,41818587,0,False,residential,Winnie Street,151.455,,,,,,,,,,,5626584,
41725729,41816684,0,False,primary,River Street,105.128,2,,,30 mph,,,,,,,44580089,US 4
41725729,41725736,0,False,residential,Regatta Place,70.768,,,,30 mph,,,,,,,5616227,
41725729,41779658,0,False,primary,River Street,92.824,2,,,30 mph,,,,,,,44580089,US 4
41725736,41725729,0,False,residential,Regatta Place,70.768,,,,30 mph,,,,,,,5616227,
41725770,41725771,0,False,residential,North Street,17.058,,,,30 mph,,,,,,,5616240,
41725770,41790021,0,False,primary,River Street,80.836,2,,,30 mph,,,,,,,5640647,US 4
41725770,41846275,0,False,primary,River Street,249.909,2,,,30 mph,,,,,,,5640647,US 4
41725771,41725773,0,False,residential,North Street,52.114,,,,30 mph,,,,,,,5616240,
41725771,41725770,0,False,residential,North Street,17.058,,,,30 mph,,,,,,,5616240,
41725771,41841129,0,False,residential,North 1st Street,70.288,,,,,,,,,,,5629344,
41725773,41725771,0,False,residential,North Street,52.114,,,,30 mph,,,,,,,5616240,
41725773,41725778,0,False,residential,North Street,89.1,,,,30 mph,,,,,,,5616240,
41725773,41865906,0,True,residential,5th Avenue,80.503,,,,30 mph,,,,,,,39688917,
41725778,41725773,0,False,residential,North Street,89.1,,,,30 mph,,,,,,,5616240,
41725778,41739217,0,False,tertiary,6th Avenue,259.738,,,,30 mph,,,,,,,5617840,
41725778,41739200,0,False,tertiary,6th Avenue,77.238,,,,30 mph,,,,,,,5617840,
41734814,41734815,0,False,residential,Swift Street,79.996,,,,,,,,,,,5617341,
41734814,41739193,0,False,tertiary,6th Avenue,129.752,,,,30 mph,,,,,,,5617840,
41734814,41739179,0,False,tertiary,6th Avenue,228.88,,,,30 mph,,,,,,,5617840,
41734815,41734814,0,False,residential,Swift Street,79.996,,,,,,,,,,,5617341,
41734815,41708837,0,False,residential,7th Avenue,48.625,,,,30 mph,,,,,,,5630821,
41734815,41851854,0,False,residential,7th Avenue,134.533,,,,30 mph,,,,,,,5630821,
41734956,41734956,0,True,residential,Eddys Lane,564.698,,,,,,,,,,,5617361,
41739110,41739172,0,False,residential,101st Street,84.834,,,,30 mph,,,,,,,5622152,
41739172,41779658,0,False,residential,101st Street,103.02,,,,30 mph,,,,,,,5622152,
41739172,41739179,0,False,tertiary,6th Avenue,201.376,,,,30 mph,,,,,,,5617840,
41739172,41739110,0,False,residential,101st Street,84.834,,,,30 mph,,,,,,,5622152,
41739179,41734814,0,False,tertiary,6th Avenue,228.88,,,,30 mph,,,,,,,5617840,
41739179,41739172,0,False,tertiary,6th Avenue,201.376,,,,30 mph,,,,,,,5617840,
41739193,41739195,0,False,tertiary,6th Avenue,179.905,,,,30 mph,,,,,,,5617840,
41739193,41734814,0,False,tertiary,6th Avenue,129.752,,,,30 mph,,,,,,,5617840,
41739193,41813200,0,True,residential,Douw Street,77.913,,,,,,,,,,,145595704,
41739195,41865908,0,True,residential,Ingalls Avenue,71.974,,,,30 mph,,,,,,,5636146,
41739195,41851844,0,False,residential,Ingalls Avenue,79.432,,,,30 mph,,,,,,,109003609,
41739195,41739200,0,False,tertiary,6th Avenue,139.384,,,,30 mph,,,,,,,5617840,
41739195,41739193,0,False,tertiary,6th Avenue,179.905,,,,30 mph,,,,,,,5617840,
41739200,41725778,0,False,tertiary,6th Avenue,77.238,,,,30 mph,,,,,,,5617840,
41739200,41739195,0,False,tertiary,6th Avenue,139.384,,,,30 mph,,,,,,,5617840,
41739200,41851843,0,False,residential,Middleburgh Street,78.118,,,,30 mph,,,,,,,5640146,
41739200,41865906,0,False,residential,Middleburgh Street,74.093,,,,30 mph,,,,,,,5640146,
41739217,41739223,0,False,tertiary,6th Avenue,115.208,,,,30 mph,,,,,,,5617840,
41739217,41725778,0,False,tertiary,6th Avenue,259.738,,,,30 mph,,,,,,,5617840,
41739217,41846278,0,True,residential,Rensselaer Street,98.52,,,,30 mph,,,,,,,74757967,
41739223,41694849,0,False,tertiary,6th Avenue,23.638,,,,30 mph,,,,,,,5617840,
41739223,41739217,0,False,tertiary,6th Avenue,115.208,,,,30 mph,,,,,,,5617840,
41739223,41758389,0,False,residential,Jay Street,44.452,,,,30 mph,,,,,,,5619862,
41739227,41739341,0,True,tertiary,6th Avenue,42.264,,,,30 mph,,,,,,,5617850,
41739227,1928646697,0,False,tertiary,6th Avenue,65.154,,,,30 mph,,,,,,,5617840,
41739227,41865886,0,False,residential,Vanderheyden Street,104.066,,,,30 mph,,,,,,,109003613,
41758375,41758377,0,False,residential,Jay Street,57.078,,,,,,,,,,,5619860,
41758377,41758375,0,False,residential,Jay Street,57.078,,,,,,,,,,,5619860,
41758377,41884024,0,False,primary,River Street,125.271,2,,,30 mph,,,,,,,5640647,US 4
41758377,41846275,0,False,primary,River Street,134.386,2,,,30 mph,,,,,,,5640647,US 4
41758377,41758380,0,True,primary,Jay Street,43.397,,,,30 mph,,,,,,,39688916,
41758380,41841103,0,False,residential,North 1st Street,137.348,,,,,,,,,,,5629339,
41758380,41758383,0,True,primary,Jay Street,51.906,,,,30 mph,,,,,,,39688916,
41758383,41846278,0,True,residential,5th Avenue,139.202,,,,30 mph,,,,,,,39688917,
41758383,41694849,0,True,primary,Jay Street,102.678,,,,30 mph,,,,,,,39688916,
41758389,41739223,0,False,residential,Jay Street,44.452,,,,30 mph,,,,,,,5619862,
41779658,41739172,0,False,residential,101st Street,103.02,,,,30 mph,,,,,,,5622152,
41779658,41725729,0,False,primary,River Street,92.824,2,,,30 mph,,,,,,,44580089,US 4
41790021,41865906,0,False,residential,Middleburgh Street,52.516,,,,30 mph,,,,,,,5640146,
41790021,41725770,0,False,primary,River Street,80.836,2,,,30 mph,,,,,,,5640647,US 4
41790021,41804234,0,False,residential,"['President Street', 'Clyde Rea Place']",171.272,,,,,,,,,,,"[5624940, 5623303]",
41790021,41890594,0,False,primary,River Street,143.421,2,,,30 mph,,,,,,,5640647,US 4
41804219,41804220,0,False,residential,President Street,67.513,,,,,,,,,,,5624938,
41804220,41804223,0,False,residential,President Street,60.617,,,,,,,,,,,5624938,
41804220,41804219,0,False,residential,President Street,67.513,,,,,,,,,,,5624938,
41804220,41908125,0,False,residential,Bond Street,96.142,,,,,,,,,,,5637647,
41804220,41908116,0,False,residential,Bond Street,52.334,,,,,,,,,,,5637647,
41804223,41804220,0,False,residential,President Street,60.617,,,,,,,,,,,5624938,
41804223,41908116,0,False,residential,"['Fallon Apartment', 'Turner Street']",109.114,,,,,,,,,,,"[5640776, 5626844]",
41804223,41816680,0,False,residential,Fallon Apartment,131.52,,,,,,,,,,,5626844,
41804234,41837595,0,False,residential,Ingalls Avenue,36.059,,,,30 mph,,,,,,,109003684,
41804234,41804238,0,False,residential,President Street,180.484,,,,,,,,,,,5624940,
41804234,41790021,0,False,residential,"['President Street', 'Clyde Rea Place']",171.272,,,,,,,,,,,"[5624940, 5623303]",
41804238,41813194,0,False,residential,Douw Street,35.142,,,,,,,,,,,5625932,
41804238,41813190,0,False,residential,Douw Street,125.994,,,,,,,,,,,5625932,
41804238,41804234,0,False,residential,President Street,180.484,,,,,,,,,,,5624940,
41813190,41804238,0,False,residential,Douw Street,125.994,,,,,,,,,,,5625932,
41813194,41804238,0,False,residential,Douw Street,35.142,,,,,,,,,,,5625932,
41813194,41813197,0,False,residential,Douw Street,59.877,,,,,,,,,,,5625932,
41813194,41837595,0,False,residential,Drouin Street,181.08,,,,,,,,,,,5628846,
41813197,41813194,0,False,residential,Douw Street,59.877,,,,,,,,,,,5625932,
41813197,41821188,0,False,primary,River Street,86.542,2,,,30 mph,,,,,,,44580089,US 4
41813197,41954066,0,False,primary,River Street,104.069,2,,,30 mph,,,,,,,44580089,US 4
41813197,41739193,0,True,residential,Douw Street,72.989,,,,,,,,,,,145595704,
41813200,41708837,0,False,residential,7th Avenue,79.103,,,,30 mph,,,,,,,5630821,
41813200,41813204,0,False,residential,Douw Street,79.669,,,,,,,,,,,580988370,
41813200,41851844,0,False,residential,7th Avenue,180.761,,,,30 mph,,,,,,,5630821,
41813204,41694824,0,False,residential,Douw Street,73.539,,,,,,,,,,,580988370,
41813204,41813200,0,False,residential,Douw Street,79.669,,,,,,,,,,,580988370,
41813204,41708837,0,False,residential,Orr Street,159.069,,,,,,,,,,,"[5613945, 5636587]",
41813204,41890599,0,False,residential,Orr Street,180.327,,,,,,,,,,,5636587,
41816669,41816680,0,False,residential,Glen Avenue,98.915,,,,,,,,,,,5626338,
41816680,41816684,0,False,residential,Glen Avenue,50.48,,,,,,,,,,,5626338,
41816680,41816669,0,False,residential,Glen Avenue,98.915,,,,,,,,,,,5626338,
41816680,41804223,0,False,residential,Fallon Apartment,131.52,,,,,,,,,,,5626844,
41816684,41816680,0,False,residential,Glen Avenue,50.48,,,,,,,,,,,5626338,
41816684,41725729,0,False,primary,River Street,105.128,2,,,30 mph,,,,,,,44580089,US 4
41816684,41739179,0,True,residential,Glen Avenue,103.263,,,,,,,,,,,145480043,
41816684,41821015,0,False,primary,River Street,106.639,2,,,30 mph,,,,,,,44580089,US 4
41816688,41851854,0,False,residential,7th Avenue,95.154,,,,30 mph,,,,,,,5630821,
41816688,41840123,0,False,residential,7th Avenue,145.498,,,,30 mph,,,,,,,5630821,
41816688,41739179,0,True,residential,Glen Avenue,92.99,,,,,,,,,,,109003720,
41816689,41816688,0,True,residential,Glen Avenue,94.761,,,,,,,,,,,109003720,
41816689,41840125,0,False,residential,Stannard Avenue,146.583,,,,,,,,,,,5630362,
41816691,41816689,0,True,residential,Glen Avenue,35.303,,,,,,,,,,,109003720,
41816691,41932913,0,False,residential,Cragin Avenue,96.889,,,,,,,,,,,5639736,
41818587,41709024,0,False,residential,Winnie Street,151.455,,,,,,,,,,,5626584,
41818587,1068141455,0,False,residential,Garden Court,21.196,,,,,,,,,,,5629206,
41818587,41840125,0,False,residential,Garden Court,128.607,,,,,,,,,,,5629206,
41821015,41821016,0,False,residential,Fallon Apartment,26.402,,,,,,,,,,,5626840,
41821015,41908125,0,False,primary,River Street,43.923,2,,,30 mph,,,,,,,44580089,US 4
41821015,41816684,0,False,primary,River Street,106.639,2,,,30 mph,,,,,,,44580089,US 4
41821016,41821015,0,False,residential,Fallon Apartment,26.402,,,,,,,,,,,5626840,
