osmid,x,y,ref,highway
42820413,-73.828848,40.702066,,traffic_signals
42820416,-73.8281785,40.7005185,,
42822413,-73.8299926,40.7002152,,
42822416,-73.8291154,40.7003641,,
42822421,-73.8287872,40.7004171,,
42824909,-73.8310043,40.7002443,,
42855511,-73.829469,40.70191,,traffic_signals
42855519,-73.827528,40.697918,,
42855521,-73.826811,40.696453,,
42855525,-73.8258529,40.69445,,
42855606,-73.828143,40.699106,,
42855613,-73.829738,40.70184,,traffic_signals
42860961,-73.829607,40.697328,,traffic_signals
42860963,-73.828577,40.697619,,
42860970,-73.82631,40.698258,,
42863053,-73.828889,40.69586,,traffic_signals
42863056,-73.827855,40.696153,,
42867987,-73.8269148,40.6942246,,
42890744,-73.831521,40.70139,,traffic_signals
42937567,-73.827953,40.70229,,traffic_signals
42939888,-73.828854,40.698187,,
42939939,-73.830629,40.701617,,traffic_signals
2924892683,-73.8270185,40.694441,,
2931099253,-73.8259643,40.6946584,,
