u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
42806448,42806446,0,True,residential,60th Road,214.684,,,,,,,,,,,5701102,
42806448,42858155,0,True,residential,60th Lane,76.367,,,,,,,,,,,5710279,
42806450,42806448,0,True,residential,60th Road,160.689,,,,,,,,,,,5701102,
42806450,42807061,0,False,secondary,Fresh Pond Road,74.11,,,,,,,,,,,198924555,
42806450,42806519,0,False,secondary,Fresh Pond Road,19.658,,,,,,,,,,,198924555,
42806459,42806521,0,True,residential,Mount Olivet Crescent,29.735,,,,,,,,,,,5709056,
42806459,42858281,0,False,residential,"['66th Street', '60th Avenue', '60th Road']",430.63,,,,,,,,,,,"[5701104, 5704240, 5705342]",
42806519,42806450,0,False,secondary,Fresh Pond Road,19.658,,,,,,,,,,,198924555,
42806521,42806519,0,True,residential,60th Road,255.681,,,,,,,,,,,5701111,
42807059,42844517,0,True,residential,59th Drive,82.557,,,,,,,,,,,5705818,
42807059,42882353,0,True,residential,59th Drive,82.632,,,,,,,,,,,173223911,
42807059,42807061,0,False,secondary,Fresh Pond Road,116.725,,,,,,,,,,,198924555,
42807061,42806450,0,False,secondary,Fresh Pond Road,74.11,,,,,,,,,,,198924555,
42807061,42807059,0,False,secondary,Fresh Pond Road,116.725,,,,,,,,,,,198924555,
42807061,42858326,0,True,residential,60th Avenue,195.743,,,,,,,,,,,5704245,
42844517,42844519,0,False,residential,61st Street,112.514,,,,,,,,,,,5703319,
42844517,42882348,0,True,residential,59th Drive,78.066,,,,,,,,,,,5705818,
42844519,42844517,0,False,residential,61st Street,112.514,,,,,,,,,,,5703319,
42844519,42807061,0,True,residential,60th Avenue,82.995,,,,,,,,,,,276150639,
42858150,42806446,0,True,residential,60th Street,76.514,,,,,,,,,,,275119120,
42858150,42858153,0,True,residential,60th Avenue,133.604,,,,,,,,,,,276150636,
42858153,42862011,0,False,residential,60th Place,108.976,,,,,,,,,,,5704498,
42858153,42858155,0,True,residential,60th Avenue,78.307,,,,,,,,,,,276150638,
42858155,42882348,0,True,residential,60th Lane,111.065,,,,,,,,,,,5710279,
42858155,42844519,0,True,residential,60th Avenue,77.968,,,,,,,,,,,276150637,
42858281,42858326,0,True,residential,Mount Olivet Crescent,22.289,,,,,,,,,,,5709056,
42858281,42806459,0,False,residential,"['60th Avenue', '60th Road', '66th Street']",430.63,,,,,,,,,,,"[5704240, 5701104, 5705342]",
42858326,42806459,0,True,residential,Mount Olivet Crescent,56.713,,,,,,,,,,,5709056,
42862011,42858153,0,False,residential,60th Place,108.976,,,,,,,,,,,5704498,
42862011,42882344,0,True,residential,59th Drive,131.247,,,,,,,,,,,5705818,
42882344,42858150,0,True,residential,60th Street,106.397,,,,,,,,,,,275119129,
42882348,42862011,0,True,residential,59th Drive,76.369,,,,,,,,,,,5705818,
42882353,42882356,0,True,residential,59th Drive,65.905,,,,,,,,,,,173223911,
42882356,42858281,0,True,residential,Mount Olivet Crescent,23.97,,,,,,,,,,,5709056,
